Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
C16	1850	0	0	0	0	0	0	0	1312	0	70.92	nan	1850	0	925	0	925	0	1064	0	57.51	nan	1126	0	186	0	10.05	nan	38	0	17	0	1850
C25	1672	0	0	0	0	0	0	0	1244	0	74.4	nan	1672	0	836	0	836	0	1040	0	62.2	nan	1086	0	158	0	9.45	nan	16	0	7	0	1672
C66	1274	0	0	0	0	0	0	0	1129	0	88.62	nan	1274	0	637	0	637	0	1002	0	78.65	nan	1040	0	89	0	6.99	nan	12	0	8	0	1274
C71	432	0	0	0	0	0	0	0	370	0	85.65	nan	432	0	216	0	216	0	324	0	75.0	nan	336	0	34	0	7.87	nan	4	0	3	0	432
C72	454	0	0	0	0	0	0	0	365	0	80.4	nan	454	0	227	0	227	0	316	0	69.6	nan	328	0	37	0	8.15	nan	6	0	6	0	454
D1	5722134	0	0	0	0	0	0	0	3904535	0	68.24	nan	5722134	0	2861067	0	2861067	0	2972908	0	51.95	nan	3114262	0	790273	0	13.81	nan	79910	0	31681	0	5722134
D10	40560	0	0	0	0	0	0	0	28420	0	70.07	nan	40560	0	20280	0	20280	0	21972	0	54.17	nan	23218	0	5202	0	12.83	nan	714	0	276	0	40560
D11	24028	0	0	0	0	0	0	0	15889	0	66.13	nan	24028	0	12014	0	12014	0	12220	0	50.86	nan	12940	0	2949	0	12.27	nan	414	0	186	0	24028
D12	31224	0	0	0	0	0	0	0	20976	0	67.18	nan	31224	0	15612	0	15612	0	16080	0	51.5	nan	17028	0	3948	0	12.64	nan	530	0	210	0	31224
D13	85348	0	0	0	0	0	0	0	60565	0	70.96	nan	85348	0	42674	0	42674	0	46968	0	55.03	nan	49610	0	10955	0	12.84	nan	1526	0	670	0	85348
D14	4412	0	0	0	0	0	0	0	1568	0	35.54	nan	4412	0	2206	0	2206	0	1208	0	27.38	nan	1286	0	282	0	6.39	nan	42	0	21	0	4412
D15	245564	0	0	0	0	0	0	0	163311	0	66.5	nan	245564	0	122782	0	122782	0	121030	0	49.29	nan	131898	0	31413	0	12.79	nan	4850	0	2304	0	245564
D16	114986	0	0	0	0	0	0	0	78482	0	68.25	nan	114986	0	57493	0	57493	0	61182	0	53.21	nan	64336	0	14146	0	12.3	nan	1836	0	843	0	114986
D17	74454	0	0	0	0	0	0	0	52415	0	70.4	nan	74454	0	37227	0	37227	0	40374	0	54.23	nan	42860	0	9555	0	12.83	nan	1378	0	680	0	74454
D18	145254	0	0	0	0	0	0	0	103009	0	70.92	nan	145254	0	72627	0	72627	0	79658	0	54.84	nan	84358	0	18651	0	12.84	nan	2638	0	1287	0	145254
D19	52372	0	0	0	0	0	0	0	37038	0	70.72	nan	52372	0	26186	0	26186	0	28582	0	54.57	nan	30158	0	6880	0	13.14	nan	912	0	494	0	52372
D2	6481254	0	0	0	0	0	0	0	4413817	0	68.1	nan	6481254	0	3240627	0	3240627	0	3354070	0	51.75	nan	3516348	0	897469	0	13.85	nan	91368	0	36444	0	6481254
D20	95210	0	0	0	0	0	0	0	67540	0	70.94	nan	95210	0	47605	0	47605	0	52106	0	54.73	nan	55264	0	12276	0	12.89	nan	1868	0	910	0	95210
D21	19932	0	0	0	0	0	0	0	13874	0	69.61	nan	19932	0	9966	0	9966	0	10650	0	53.43	nan	11262	0	2612	0	13.1	nan	266	0	124	0	19932
D22	69640	0	0	0	0	0	0	0	49101	0	70.51	nan	69640	0	34820	0	34820	0	38060	0	54.65	nan	40092	0	9009	0	12.94	nan	1144	0	555	0	69640
D23	171084	0	0	0	0	0	0	0	120944	0	70.69	nan	171084	0	85542	0	85542	0	93404	0	54.6	nan	98516	0	22428	0	13.11	nan	2664	0	1286	0	171084
D24	351696	0	0	0	0	0	0	0	244984	0	69.66	nan	351696	0	175848	0	175848	0	179752	0	51.11	nan	196728	0	48256	0	13.72	nan	7318	0	3299	0	351696
D25	53848	0	0	0	0	0	0	0	39116	0	72.64	nan	53848	0	26924	0	26924	0	31584	0	58.65	nan	32868	0	6248	0	11.6	nan	524	0	245	0	53848
D26	30580	0	0	0	0	0	0	0	21833	0	71.4	nan	30580	0	15290	0	15290	0	17532	0	57.33	nan	18442	0	3391	0	11.09	nan	430	0	150	0	30580
D27	83700	0	0	0	0	0	0	0	58908	0	70.38	nan	83700	0	41850	0	41850	0	45428	0	54.27	nan	48066	0	10842	0	12.95	nan	1586	0	750	0	83700
D28	51356	0	0	0	0	0	0	0	35985	0	70.07	nan	51356	0	25678	0	25678	0	27814	0	54.16	nan	29384	0	6601	0	12.85	nan	852	0	385	0	51356
D29	27840	0	0	0	0	0	0	0	19245	0	69.13	nan	27840	0	13920	0	13920	0	14882	0	53.46	nan	15732	0	3513	0	12.62	nan	454	0	208	0	27840
D3	26534	0	0	0	0	0	0	0	18104	0	68.23	nan	26534	0	13267	0	13267	0	13788	0	51.96	nan	14620	0	3484	0	13.13	nan	452	0	216	0	26534
D30	139378	0	0	0	0	0	0	0	98998	0	71.03	nan	139378	0	69689	0	69689	0	76474	0	54.87	nan	80698	0	18300	0	13.13	nan	2418	0	1113	0	139378
D31	31600	0	0	0	0	0	0	0	22369	0	70.79	nan	31600	0	15800	0	15800	0	17188	0	54.39	nan	18212	0	4157	0	13.16	nan	644	0	302	0	31600
D32	172062	0	0	0	0	0	0	0	122223	0	71.03	nan	172062	0	86031	0	86031	0	94966	0	55.19	nan	99904	0	22319	0	12.97	nan	2862	0	1284	0	172062
D33	100112	0	0	0	0	0	0	0	71386	0	71.31	nan	100112	0	50056	0	50056	0	55388	0	55.33	nan	58410	0	12976	0	12.96	nan	1688	0	816	0	100112
D34	140010	0	0	0	0	0	0	0	99123	0	70.8	nan	140010	0	70005	0	70005	0	76496	0	54.64	nan	81262	0	17861	0	12.76	nan	2626	0	1246	0	140010
D35	43674	0	0	0	0	0	0	0	30862	0	70.66	nan	43674	0	21837	0	21837	0	23754	0	54.39	nan	25180	0	5682	0	13.01	nan	852	0	397	0	43674
D36	1428	0	0	0	0	0	0	0	985	0	68.98	nan	1428	0	714	0	714	0	754	0	52.8	nan	798	0	187	0	13.1	nan	34	0	13	0	1428
D37	95602	0	0	0	0	0	0	0	67852	0	70.97	nan	95602	0	47801	0	47801	0	52502	0	54.92	nan	55606	0	12246	0	12.81	nan	1774	0	859	0	95602
D38	94444	0	0	0	0	0	0	0	66963	0	70.9	nan	94444	0	47222	0	47222	0	51564	0	54.6	nan	54336	0	12627	0	13.37	nan	1424	0	698	0	94444
D39	91720	0	0	0	0	0	0	0	65235	0	71.12	nan	91720	0	45860	0	45860	0	50510	0	55.07	nan	53298	0	11937	0	13.01	nan	1528	0	721	0	91720
D4	74568	0	0	0	0	0	0	0	52205	0	70.01	nan	74568	0	37284	0	37284	0	40286	0	54.03	nan	42504	0	9701	0	13.01	nan	1314	0	571	0	74568
D40	111576	0	0	0	0	0	0	0	79311	0	71.08	nan	111576	0	55788	0	55788	0	61818	0	55.4	nan	64972	0	14339	0	12.85	nan	1734	0	778	0	111576
D41	82954	0	0	0	0	0	0	0	58614	0	70.66	nan	82954	0	41477	0	41477	0	45522	0	54.88	nan	48036	0	10578	0	12.75	nan	1432	0	632	0	82954
