# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
11CO	11	11.17023	13.55007	0.10170	0.98715	0.00350	0.00163	0.01375	0.00436	0.00182	0.98625	0.00436	0.00182	0.01838	0.00557	0.00206	0.98162	0.00557	0.00206	0.01971	0.00655	0.00224	0.01850	0.01820	0.10170
12AZ	6	12.81756	11.37654	0.09280	0.98619	0.00349	0.00162	0.01832	0.00658	0.00223	0.98168	0.00658	0.00223	0.02026	0.00624	0.00217	0.97974	0.00624	0.00217	0.02133	0.00700	0.00230	0.01082	0.01346	0.09280
15TX	5	13.12212	19.99834	0.11813	0.95002	0.00981	0.00262	0.03946	0.00961	0.00259	0.96054	0.00961	0.00259	0.07536	0.01780	0.00352	0.92464	0.01780	0.00352	0.07992	0.02061	0.00379	0.14661	0.11057	0.11813
16TX	7	12.16312	37.96486	0.16409	0.95240	0.01072	0.00276	0.02545	0.00899	0.00253	0.97455	0.00899	0.00253	0.06925	0.01723	0.00350	0.93075	0.01723	0.00350	0.07702	0.02353	0.00409	0.19310	0.15006	0.16409
18TX	9	13.24236	18.76888	0.11417	0.90443	0.01840	0.00357	0.01853	0.00493	0.00185	0.98147	0.00493	0.00185	0.13611	0.03194	0.00471	0.86389	0.03194	0.00471	0.14224	0.03507	0.00494	0.33084	0.21721	0.11417
19TX	12	10.71698	18.19607	0.11276	0.95963	0.00984	0.00262	0.02804	0.00802	0.00237	0.97196	0.00802	0.00237	0.05782	0.01652	0.00340	0.94218	0.01652	0.00340	0.06271	0.01991	0.00373	0.09601	0.08389	0.11276
1WY	8	14.49339	20.21046	0.12181	0.99006	0.00253	0.00136	0.01355	0.00521	0.00196	0.98645	0.00521	0.00196	0.01462	0.00454	0.00183	0.98538	0.00454	0.00183	0.01605	0.00613	0.00212	0.00696	0.00667	0.12181
20NM	4	13.82228	20.52027	0.12030	0.97128	0.00598	0.00205	0.02679	0.00758	0.00231	0.97321	0.00758	0.00231	0.04384	0.01079	0.00276	0.95616	0.01079	0.00276	0.04701	0.01301	0.00303	0.07253	0.06613	0.12030
21NM	3	11.41969	14.87545	0.10192	0.96667	0.00791	0.00235	0.02493	0.00693	0.00220	0.97507	0.00693	0.00220	0.04864	0.01294	0.00301	0.95136	0.01294	0.00301	0.05361	0.01672	0.00342	0.08283	0.07589	0.10192
26NM	2	13.67346	20.57706	0.12021	0.96362	0.00732	0.00227	0.03323	0.00798	0.00237	0.96677	0.00798	0.00237	0.05548	0.01334	0.00306	0.94452	0.01334	0.00306	0.05953	0.01621	0.00337	0.08188	0.07136	0.12021
27NM	7	15.89595	26.95842	0.13721	0.96911	0.00734	0.00226	0.02693	0.00787	0.00234	0.97307	0.00787	0.00234	0.04519	0.01153	0.00284	0.95481	0.01153	0.00284	0.04937	0.01509	0.00325	0.07043	0.06937	0.13721
28NM	13	18.25764	16.20529	0.10608	0.88018	0.02537	0.00420	0.03591	0.00653	0.00213	0.96409	0.00653	0.00213	0.16023	0.03900	0.00520	0.83977	0.03900	0.00520	0.16492	0.04130	0.00536	0.32707	0.19294	0.10608
2CO	19	16.75798	20.20141	0.12246	0.98883	0.00253	0.00137	0.01352	0.00359	0.00163	0.98648	0.00359	0.00163	0.01702	0.00475	0.00188	0.98298	0.00475	0.00188	0.01771	0.00517	0.00196	0.01708	0.01545	0.12246
31NV	3	6.19877	1.89518	0.03814	0.98702	0.00373	0.00169	0.01751	0.00717	0.00235	0.98249	0.00717	0.00235	0.01818	0.00596	0.00214	0.98182	0.00596	0.00214	0.02067	0.00817	0.00250	0.00646	0.00930	0.03814
32UT	13	17.43582	24.63890	0.13560	0.98727	0.00303	0.00150	0.01624	0.00478	0.00189	0.98376	0.00478	0.00189	0.01908	0.00557	0.00204	0.98092	0.00557	0.00204	0.01986	0.00610	0.00213	0.01161	0.01158	0.13560
33NV	6	7.54890	4.51773	0.05969	0.98805	0.00312	0.00157	0.01452	0.00486	0.00196	0.98548	0.00486	0.00196	0.01739	0.00552	0.00209	0.98261	0.00552	0.00209	0.01919	0.00706	0.00236	0.01065	0.01061	0.05969
34UT	7	14.12655	10.37636	0.08976	0.98749	0.00322	0.00158	0.01642	0.00516	0.00200	0.98358	0.00516	0.00200	0.01827	0.00535	0.00204	0.98173	0.00535	0.00204	0.01941	0.00637	0.00222	0.00863	0.00985	0.08976
37CR	4	4.62407	4.25114	0.05620	0.96865	0.01029	0.00276	0.03873	0.02238	0.00408	0.96127	0.02238	0.00408	0.04018	0.01416	0.00324	0.95982	0.01416	0.00324	0.05214	0.02720	0.00450	0.02585	0.02962	0.05620
38CR	10	8.08953	13.51691	0.10685	0.98061	0.00634	0.00231	0.02282	0.01183	0.00316	0.97718	0.01183	0.00316	0.02536	0.00921	0.00279	0.97464	0.00921	0.00279	0.02940	0.01338	0.00336	0.01480	0.02060	0.10685
39CR	4	9.18605	11.23605	0.09838	0.98047	0.00569	0.00221	0.02272	0.00988	0.00292	0.97728	0.00988	0.00292	0.02694	0.00906	0.00279	0.97306	0.00906	0.00279	0.03057	0.01254	0.00329	0.01793	0.02231	0.09838
41CR	8	10.34011	28.76139	0.14996	0.97433	0.00774	0.00246	0.02389	0.01043	0.00286	0.97611	0.01043	0.00286	0.03456	0.01143	0.00299	0.96544	0.01143	0.00299	0.04025	0.01729	0.00368	0.03797	0.03735	0.14996
43GR	10	11.12661	28.96195	0.14818	0.96756	0.00800	0.00246	0.02102	0.00756	0.00239	0.97898	0.00756	0.00239	0.04677	0.01288	0.00313	0.95323	0.01288	0.00313	0.05047	0.01566	0.00345	0.12967	0.11261	0.14818
44GR	21	10.20592	29.76161	0.14664	0.96538	0.01026	0.00272	0.03253	0.01557	0.00335	0.96747	0.01557	0.00335	0.04635	0.01499	0.00329	0.95365	0.01499	0.00329	0.05442	0.02311	0.00409	0.06056	0.05586	0.14664
46CH	48	20.92168	43.37945	0.17417	0.98277	0.00409	0.00169	0.01796	0.00521	0.00191	0.98204	0.00521	0.00191	0.02570	0.00702	0.00221	0.97430	0.00702	0.00221	0.02787	0.00891	0.00250	0.03108	0.02933	0.17417
47TX	14	20.22269	43.27618	0.17464	0.97287	0.00543	0.00196	0.02073	0.00511	0.00190	0.97927	0.00511	0.00190	0.04192	0.00970	0.00261	0.95808	0.00970	0.00261	0.04403	0.01108	0.00279	0.12141	0.10223	0.17464
49TX	12	22.74605	46.74523	0.18312	0.98228	0.00395	0.00168	0.02032	0.00699	0.00224	0.97968	0.00699	0.00224	0.02692	0.00721	0.00227	0.97308	0.00721	0.00227	0.02869	0.00872	0.00250	0.03270	0.03501	0.18312
4CO	10	9.28142	5.45392	0.06485	0.98926	0.00280	0.00147	0.01224	0.00389	0.00173	0.98776	0.00389	0.00173	0.01565	0.00485	0.00193	0.98435	0.00485	0.00193	0.01673	0.00560	0.00208	0.01322	0.01348	0.06485
50TX	4	7.90103	4.60069	0.05829	0.98291	0.00453	0.00183	0.02033	0.00811	0.00245	0.97967	0.00811	0.00245	0.02452	0.00764	0.00238	0.97548	0.00764	0.00238	0.02761	0.01026	0.00275	0.01851	0.02313	0.05829
51TX	4	11.86657	9.61828	0.08397	0.98414	0.00399	0.00171	0.01805	0.00670	0.00222	0.98195	0.00670	0.00222	0.02324	0.00697	0.00226	0.97676	0.00697	0.00226	0.02531	0.00875	0.00253	0.02025	0.02321	0.08397
52TX	5	16.70089	29.33323	0.14719	0.98495	0.00363	0.00164	0.01869	0.00730	0.00232	0.98131	0.00730	0.00232	0.02239	0.00642	0.00218	0.97761	0.00642	0.00218	0.02394	0.00775	0.00239	0.02591	0.02892	0.14719
5CO	6	16.71944	23.17178	0.13063	0.98856	0.00286	0.00145	0.01438	0.00425	0.00177	0.98562	0.00425	0.00177	0.01690	0.00486	0.00189	0.98310	0.00486	0.00189	0.01780	0.00557	0.00203	0.01183	0.01227	0.13063
6KS	7	8.88333	9.18582	0.07987	0.92701	0.01251	0.00295	0.02765	0.00731	0.00225	0.97235	0.00731	0.00225	0.11031	0.02180	0.00389	0.88969	0.02180	0.00389	0.11956	0.02674	0.00431	0.32889	0.21010	0.07987
8OK	3	15.08624	31.93193	0.15086	0.97199	0.00659	0.00217	0.02449	0.00710	0.00225	0.97551	0.00710	0.00225	0.04128	0.01188	0.00291	0.95872	0.01188	0.00291	0.04425	0.01413	0.00317	0.05786	0.05463	0.15086
CARINA_LAB	7	10.53863	14.97181	0.10496	0.98079	0.00472	0.00186	0.02023	0.00722	0.00231	0.97977	0.00722	0.00231	0.02827	0.00856	0.00251	0.97173	0.00856	0.00251	0.03100	0.01071	0.00281	0.03095	0.03209	0.10496
SUB_LAB	4	13.53143	23.30260	0.13051	0.98920	0.00259	0.00138	0.01268	0.00513	0.00194	0.98732	0.00513	0.00194	0.01620	0.00473	0.00186	0.98380	0.00473	0.00186	0.01773	0.00607	0.00211	0.01588	0.01938	0.13051
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
11CO	11	2181865	1310	114	0.00522	13.21084	8.64076	0.00199	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00199
12AZ	6	2142373	1321	116	0.00541	14.35684	4.17343	0.00140	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00140
15TX	5	1879215	1433	451	0.02400	12.85509	45.45078	0.00492	0.99996	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00011	0.00010	0.00492
16TX	7	2189877	1410	419	0.01913	10.59194	54.84652	0.00500	0.99997	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.00012	0.00012	0.00500
18TX	9	2217329	1440	618	0.02787	12.70727	40.38834	0.00427	0.99994	0.00002	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00004	0.00000	0.00021	0.00021	0.00427
19TX	12	2216560	1431	325	0.01466	14.03189	2.69772	0.00110	0.99997	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	0.00006	0.00006	0.00110
1WY	8	2180921	1362	92	0.00422	15.54248	19.67475	0.00300	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00300
20NM	4	2217280	1418	321	0.01448	17.56511	2.12215	0.00098	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00005	0.00005	0.00098
21NM	3	2217317	1432	328	0.01479	14.02700	2.41341	0.00104	0.99998	0.00001	0.00000	0.00002	0.00000	0.00000	0.99998	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00005	0.00005	0.00104
26NM	2	2217289	1424	373	0.01682	17.00861	2.36473	0.00103	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.00005	0.00005	0.00103
27NM	7	2217299	1432	366	0.01651	17.83883	6.12649	0.00166	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00005	0.00005	0.00166
28NM	13	2217331	1440	702	0.03166	20.65642	11.19043	0.00225	0.99992	0.00003	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00011	0.00004	0.00000	0.00021	0.00019	0.00225
2CO	19	2213193	1347	127	0.00574	17.90194	9.64863	0.00209	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00209
31NV	3	2217188	1303	86	0.00388	6.68903	0.70554	0.00056	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.00000	0.00001	0.00056
32UT	13	2217225	1340	129	0.00582	19.25185	4.55871	0.00143	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00143
33NV	6	2217153	1268	87	0.00392	8.53559	1.31557	0.00077	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00077
34UT	7	2217173	1288	117	0.00528	15.33415	3.03832	0.00117	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00117
37CR	4	2156994	1346	159	0.00737	4.99973	5.40820	0.00158	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00002	0.00000	0.00002	0.00002	0.00158
38CR	10	2217042	1184	94	0.00424	8.16672	19.49616	0.00297	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00001	0.00297
39CR	4	2214811	1161	106	0.00479	7.30822	22.06592	0.00316	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00001	0.00316
41CR	8	1984744	1279	160	0.00806	10.45160	36.97413	0.00432	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.00002	0.00002	0.00432
43GR	10	2217163	1319	269	0.01213	11.35362	23.42057	0.00325	0.99998	0.00001	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00008	0.00008	0.00325
44GR	21	2217260	1384	229	0.01033	12.02581	14.36960	0.00255	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00002	0.00000	0.00004	0.00004	0.00255
46CH	48	2217319	1430	221	0.00997	22.92698	9.44522	0.00206	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00000	0.00000	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00206
47TX	14	2217304	1419	368	0.01660	21.26542	25.35757	0.00338	0.99998	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00008	0.00007	0.00338
49TX	12	2217267	1394	220	0.00992	25.26341	9.43622	0.00206	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00000	0.00000	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00206
4CO	10	2214955	1297	85	0.00384	10.39028	2.87274	0.00114	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00114
50TX	4	1522365	1354	125	0.00821	8.26295	9.88335	0.00255	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00255
51TX	4	1679232	1364	139	0.00828	10.71739	28.00341	0.00408	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00408
52TX	5	1808626	1354	152	0.00840	16.14401	91.09218	0.00710	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00710
5CO	6	2216650	1358	124	0.00559	19.24863	2.84301	0.00113	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00113
6KS	7	2217328	1440	631	0.02846	8.01452	19.63996	0.00298	0.99995	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00008	0.00003	0.00000	0.00021	0.00021	0.00298
8OK	3	1910022	1403	252	0.01319	13.75332	66.90668	0.00592	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00004	0.00004	0.00592
