	11CO	12AZ	15TX	16TX	18TX	19TX	1WY	20NM	21NM	26NM	27NM	28NM	2CO	31NV	32UT	33NV	34UT	37CR	38CR	39CR	41CR	43GR	44GR	46CH	47TX	49TX	4CO	50TX	51TX	52TX	5CO	6KS	8OK	CARINA_LAB	SUB_LAB
11CO		0.0343739	0.555265	0.603614	0.444236	0.604304	0.0653768	0.621559	0.617722	0.57536	0.603253	0.156261	0.0666717	0.0472481	0.0333358	0.0384707	0.0360654	0.695344	0.752489	0.743921	0.68976	0.705587	0.628161	0.0547244	0.628066	0.658923	0.072179	0.722067	0.703464	0.701373	0.0417668	0.483546	0.643828	0.703741	0.741658
12AZ			0.549412	0.589692	0.451212	0.592824	0.070779	0.610531	0.609669	0.565311	0.590657	0.171163	0.0626125	0.0437563	0.0270623	0.0328527	0.026042	0.676744	0.731758	0.725007	0.671528	0.687712	0.614882	0.0598357	0.616224	0.645084	0.0687185	0.700582	0.683361	0.68446	0.0485844	0.482783	0.632776	0.695745	0.717246
15TX				0.337346	0.18871	0.102975	0.571649	0.203224	0.213476	0.161292	0.205773	0.214061	0.579303	0.561616	0.544336	0.574465	0.561437	0.396119	0.438359	0.425432	0.42388	0.400278	0.392735	0.529936	0.241434	0.247873	0.581127	0.227818	0.233306	0.243881	0.558051	0.104513	0.078829	0.111167	0.269184
16TX					0.343529	0.420625	0.629034	0.456875	0.453954	0.408473	0.453763	0.324426	0.627474	0.607174	0.587025	0.61245	0.600273	0.128038	0.109351	0.0610599	0.114751	0.154151	0.182365	0.584922	0.466104	0.487648	0.621044	0.507033	0.510406	0.514877	0.600461	0.313362	0.447309	0.483294	0.541549
18TX						0.168563	0.488833	0.103496	0.0898885	0.106118	0.0945845	0.121395	0.501007	0.421063	0.459265	0.43151	0.461321	0.37056	0.434579	0.43071	0.393156	0.412793	0.361032	0.45559	0.0882342	0.0989002	0.46396	0.0751309	0.096716	0.0901059	0.470611	0.114164	0.212928	0.210451	0.101263
19TX							0.634152	0.24991	0.244958	0.20621	0.235755	0.187273	0.631406	0.611984	0.583996	0.623929	0.605356	0.500334	0.552609	0.536179	0.507934	0.517806	0.468349	0.578019	0.247709	0.270638	0.632478	0.284956	0.289971	0.291772	0.608802	0.0675245	0.0826877	0.109744	0.319897
1WY								0.636186	0.641693	0.589668	0.618613	0.187632	0.0482403	0.0800088	0.0673593	0.0757643	0.0600379	0.740895	0.791788	0.779713	0.726022	0.74082	0.669352	0.0363396	0.647654	0.683864	0.0417364	0.754377	0.731951	0.726924	0.0459379	0.522281	0.672172	0.737247	0.778871
20NM									0.0593268	0.0423265	0.0490518	0.248771	0.641919	0.636064	0.597232	0.645306	0.62259	0.531602	0.598953	0.579548	0.538378	0.540414	0.49129	0.578384	0.0669599	0.0670693	0.652691	0.0406295	0.052556	0.0459251	0.613683	0.188671	0.27017	0.276889	0.0835004
21NM										0.0668379	0.0517085	0.229747	0.644065	0.632953	0.594685	0.63762	0.616578	0.534384	0.597818	0.578198	0.535484	0.535452	0.497295	0.576234	0.0783683	0.0746614	0.653211	0.0473182	0.064227	0.0605256	0.611061	0.186366	0.264788	0.28869	0.0791806
26NM											0.0534708	0.231881	0.595818	0.583225	0.557855	0.591214	0.576472	0.468669	0.528139	0.515497	0.475868	0.486535	0.450066	0.537879	0.089809	0.0796877	0.602126	0.0455818	0.0548848	0.0557204	0.567545	0.163791	0.216494	0.222086	0.0853161
27NM												0.252121	0.621534	0.611564	0.577756	0.620547	0.60028	0.515007	0.571225	0.561715	0.528573	0.523868	0.486486	0.559876	0.0679391	0.0463467	0.634194	0.0334281	0.0380796	0.0360577	0.595324	0.185626	0.255707	0.270331	0.0647311
28NM													0.197498	0.134377	0.187509	0.143668	0.178977	0.30894	0.400313	0.401162	0.358732	0.393179	0.321128	0.191816	0.258031	0.280313	0.157179	0.224853	0.265037	0.274769	0.187442	0.11185	0.247192	0.2403	0.273778
2CO														0.0775789	0.070946	0.0748757	0.0611789	0.72158	0.779535	0.769281	0.719618	0.728724	0.658291	0.046341	0.651939	0.68224	0.0389718	0.751276	0.731228	0.723453	0.034312	0.52464	0.670412	0.733822	0.770669
31NV															0.0476243	0.0485799	0.035082	0.709275	0.773498	0.766119	0.710513	0.721584	0.643949	0.057147	0.637487	0.673159	0.0802465	0.743617	0.721506	0.715706	0.0554907	0.470985	0.661691	0.73286	0.761071
32UT																0.0282012	0.0214597	0.667889	0.722249	0.71964	0.665919	0.688721	0.612538	0.0648577	0.604365	0.633684	0.0688923	0.687175	0.667769	0.66999	0.0516507	0.486655	0.622198	0.67906	0.70428
33NV																	0.032323	0.717188	0.782465	0.774731	0.714316	0.73585	0.650514	0.054291	0.642302	0.682243	0.0753741	0.754066	0.72655	0.727179	0.0481253	0.479679	0.667973	0.738249	0.769303
34UT																		0.681779	0.739759	0.732999	0.684412	0.700986	0.626601	0.0520684	0.624592	0.654744	0.0647597	0.709762	0.693622	0.688944	0.0417631	0.495964	0.645892	0.706265	0.727684
37CR																			0.204365	0.128036	0.147478	0.239842	0.183389	0.657638	0.544754	0.582068	0.728889	0.64173	0.621147	0.62148	0.692198	0.358558	0.534973	0.599833	0.658076
38CR																				0.0730688	0.13415	0.222819	0.207309	0.719174	0.592337	0.633634	0.780626	0.707214	0.678021	0.683527	0.748518	0.414845	0.584122	0.651346	0.729042
