# Phi_st Means
	11CO	12AZ	15TX	16TX	18TX	19TX	1WY	20NM	21NM	26NM	27NM	28NM	2CO	31NV	32UT	33NV	34UT	37CR	38CR	39CR	41CR	43GR	44GR	46CH	47TX	49TX	4CO	50TX	51TX	52TX	5CO	6KS	8OK	CARINA_LAB	SUB_LAB
11CO		0.0125695	0.585569	0.642868	0.531626	0.642423	0.0737785	0.640626	0.645413	0.600822	0.631382	0.224814	0.0748957	0.0171424	0.0157505	0.000586413	0.0152485	0.726019	0.762627	0.755891	0.711756	0.725726	0.660389	0.0523808	0.657994	0.683756	0.0668899	0.735157	0.718145	0.716647	0.0361998	0.561851	0.673899	0.727156	0.756312
12AZ			0.583501	0.630013	0.533168	0.635538	0.0810351	0.63062	0.641212	0.591462	0.618368	0.241946	0.0728193	0.0160061	0.0148032	0.00624712	0.00940985	0.716624	0.74526	0.740261	0.693977	0.708265	0.652751	0.0599436	0.644506	0.669308	0.0720248	0.717579	0.700265	0.70096	0.0453828	0.563524	0.663677	0.721952	0.732969
15TX				0.409713	0.223435	0.0971257	0.605876	0.23855	0.24411	0.193316	0.243205	0.291602	0.620607	0.588291	0.586142	0.605053	0.596049	0.481799	0.508006	0.488366	0.489394	0.463167	0.457364	0.574993	0.285165	0.304915	0.613285	0.259213	0.266284	0.287458	0.595224	0.103349	0.0766453	0.12222	0.302806
16TX					0.393348	0.471417	0.683643	0.523715	0.52897	0.480795	0.534288	0.391622	0.678599	0.644889	0.629722	0.646482	0.643656	0.0880255	0.0803316	0.0332796	0.0945088	0.169519	0.184612	0.643477	0.525757	0.552578	0.661348	0.567326	0.570509	0.579021	0.650339	0.350242	0.509003	0.545914	0.604987
18TX						0.203353	0.577574	0.118892	0.093034	0.118869	0.113962	0.167778	0.595721	0.519953	0.542457	0.528507	0.548573	0.420135	0.469072	0.470654	0.43755	0.459128	0.424908	0.54948	0.125646	0.147276	0.556693	0.0779505	0.11699	0.120657	0.558347	0.124404	0.267153	0.246787	0.128474
19TX							0.687253	0.291795	0.274646	0.240076	0.276635	0.262369	0.684483	0.645632	0.632531	0.660206	0.648164	0.54712	0.582849	0.564929	0.549883	0.556967	0.515916	0.63465	0.295138	0.331877	0.671534	0.317051	0.326289	0.336942	0.657511	0.0508406	0.0778937	0.110229	0.3627
1WY								0.65279	0.672114	0.61229	0.643556	0.264067	0.0332778	0.096829	0.0757216	0.0868062	0.0693345	0.790115	0.807782	0.796465	0.755415	0.764745	0.712024	0.0142111	0.667489	0.702515	0.0246392	0.776009	0.747938	0.742448	0.0332271	0.615556	0.709633	0.766433	0.796493
20NM									0.0407929	0.0227091	0.0297767	0.335259	0.662143	0.656258	0.61834	0.665642	0.646233	0.580812	0.637109	0.617937	0.569376	0.584746	0.544299	0.60242	0.0656251	0.0659971	0.67111	0.0156618	0.0382012	0.0338818	0.633979	0.230573	0.310841	0.31332	0.0827519
21NM										0.0514577	0.029219	0.314677	0.679287	0.660015	0.628503	0.665815	0.650387	0.588504	0.640473	0.622324	0.583622	0.586991	0.558925	0.613651	0.075014	0.0759192	0.683471	0.01324	0.0481402	0.0512454	0.644981	0.218244	0.303685	0.316933	0.0739047
26NM											0.0392056	0.313089	0.625755	0.609048	0.58628	0.617639	0.60643	0.526635	0.576161	0.56206	0.520623	0.540273	0.507614	0.569629	0.0962802	0.091469	0.627929	0.0276923	0.0480945	0.0520496	0.594015	0.197888	0.255497	0.258055	0.0867294
