# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
11CO	6	9.60426	8.82271	0.08194	0.98698	0.00326	0.00158	0.01644	0.00537	0.00202	0.98356	0.00537	0.00202	0.01919	0.00571	0.00208	0.98081	0.00571	0.00208	0.02037	0.00646	0.00222	0.01290	0.01437	0.08194
12AZ	7	12.73083	11.93502	0.09473	0.98517	0.00358	0.00164	0.02093	0.00767	0.00240	0.97907	0.00767	0.00240	0.02207	0.00633	0.00218	0.97793	0.00633	0.00218	0.02341	0.00746	0.00237	0.01056	0.01375	0.09473
15TX	6	11.60677	17.53475	0.11008	0.95238	0.01025	0.00266	0.03492	0.00928	0.00253	0.96508	0.00928	0.00253	0.07022	0.01787	0.00351	0.92978	0.01787	0.00351	0.07536	0.02131	0.00384	0.13388	0.10134	0.11008
16TX	4	11.77135	37.05220	0.16170	0.95565	0.01141	0.00284	0.02920	0.01430	0.00318	0.97080	0.01430	0.00318	0.06194	0.01681	0.00344	0.93806	0.01681	0.00344	0.07101	0.02542	0.00424	0.15813	0.13646	0.16170
18TX	5	11.80426	19.69980	0.11632	0.92434	0.01349	0.00304	0.02001	0.00584	0.00200	0.97999	0.00584	0.00200	0.11290	0.02415	0.00407	0.88710	0.02415	0.00407	0.12022	0.02821	0.00440	0.31784	0.21135	0.11632
19TX	5	10.56648	18.20417	0.11228	0.95919	0.01033	0.00267	0.03052	0.01030	0.00267	0.96948	0.01030	0.00267	0.05764	0.01695	0.00343	0.94236	0.01695	0.00343	0.06267	0.02070	0.00379	0.08844	0.07953	0.11228
1WY	8	14.47137	20.02012	0.12124	0.99092	0.00244	0.00134	0.01201	0.00467	0.00185	0.98799	0.00467	0.00185	0.01312	0.00414	0.00174	0.98688	0.00414	0.00174	0.01365	0.00449	0.00181	0.00643	0.00830	0.12124
20NM	1	13.30651	19.02083	0.11537	0.96842	0.00714	0.00223	0.02704	0.00755	0.00230	0.97296	0.00755	0.00230	0.04691	0.01210	0.00291	0.95309	0.01210	0.00291	0.05059	0.01482	0.00322	0.07946	0.07081	0.11537
21NM	0	10.44844	13.58546	0.09696	0.96417	0.00916	0.00252	0.02834	0.00879	0.00247	0.97166	0.00879	0.00247	0.05077	0.01426	0.00314	0.94923	0.01426	0.00314	0.05605	0.01834	0.00356	0.07563	0.07098	0.09696
26NM	7	13.53051	21.69407	0.12266	0.96238	0.00769	0.00231	0.03386	0.00778	0.00232	0.96614	0.00778	0.00232	0.05704	0.01368	0.00308	0.94296	0.01368	0.00308	0.06057	0.01590	0.00332	0.08743	0.07315	0.12266
27NM	2	15.86574	27.46257	0.13786	0.96665	0.00806	0.00236	0.02786	0.00762	0.00230	0.97214	0.00762	0.00230	0.04837	0.01282	0.00298	0.95163	0.01282	0.00298	0.05203	0.01565	0.00329	0.08025	0.07450	0.13786
28NM	12	13.94093	7.36970	0.07114	0.84945	0.03663	0.00502	0.04452	0.00850	0.00242	0.95548	0.00850	0.00242	0.18255	0.04529	0.00558	0.81745	0.04529	0.00558	0.18951	0.04872	0.00578	0.32680	0.19283	0.07114
2CO	8	16.73665	20.05457	0.12197	0.98752	0.00338	0.00158	0.01399	0.00503	0.00193	0.98601	0.00503	0.00193	0.01789	0.00552	0.00202	0.98211	0.00552	0.00202	0.01901	0.00660	0.00221	0.01804	0.01686	0.12197
31NV	5	6.19404	1.81859	0.03727	0.98651	0.00361	0.00166	0.01722	0.00635	0.00220	0.98278	0.00635	0.00220	0.01939	0.00612	0.00216	0.98061	0.00612	0.00216	0.02175	0.00810	0.00249	0.01045	0.01147	0.03727
32UT	9	17.40179	24.02162	0.13369	0.98643	0.00317	0.00153	0.01765	0.00521	0.00197	0.98235	0.00521	0.00197	0.02045	0.00575	0.00207	0.97955	0.00575	0.00207	0.02118	0.00619	0.00215	0.01123	0.01269	0.13369
33NV	8	7.50000	4.59953	0.06013	0.98848	0.00265	0.00144	0.01656	0.00609	0.00219	0.98344	0.00609	0.00219	0.01748	0.00499	0.00198	0.98252	0.00499	0.00198	0.01887	0.00588	0.00215	0.00749	0.01114	0.06013
34UT	8	14.08050	10.31730	0.08936	0.98573	0.00332	0.00160	0.01814	0.00522	0.00201	0.98186	0.00522	0.00201	0.02150	0.00609	0.00217	0.97850	0.00609	0.00217	0.02241	0.00664	0.00227	0.01281	0.01411	0.08936
37CR	3	3.76623	2.02654	0.04056	0.97541	0.00777	0.00251	0.03053	0.01650	0.00366	0.96947	0.01650	0.00366	0.03243	0.01176	0.00309	0.96757	0.01176	0.00309	0.04034	0.01950	0.00398	0.01905	0.02339	0.04056
38CR	16	7.69056	11.43075	0.09817	0.98057	0.00595	0.00224	0.02467	0.01230	0.00322	0.97533	0.01230	0.00322	0.02621	0.00899	0.00275	0.97379	0.00899	0.00275	0.02955	0.01192	0.00317	0.01263	0.02056	0.09817
39CR	1	9.08655	11.42732	0.09895	0.98169	0.00527	0.00213	0.02522	0.01276	0.00331	0.97478	0.01276	0.00331	0.02541	0.00861	0.00272	0.97459	0.00861	0.00272	0.02794	0.01056	0.00301	0.00855	0.01839	0.09895
41CR	6	10.19073	29.43114	0.15075	0.97339	0.00824	0.00252	0.03095	0.01591	0.00350	0.96905	0.01591	0.00350	0.03535	0.01196	0.00304	0.96465	0.01196	0.00304	0.04117	0.01833	0.00376	0.02479	0.03203	0.15075
43GR	12	11.48403	18.75122	0.12553	0.97211	0.00810	0.00261	0.02870	0.01225	0.00321	0.97130	0.01225	0.00321	0.03803	0.01264	0.00326	0.96197	0.01264	0.00326	0.04161	0.01593	0.00366	0.03335	0.03622	0.12553
44GR	27	10.06614	29.18555	0.14485	0.96282	0.01007	0.00269	0.03365	0.01372	0.00314	0.96635	0.01372	0.00314	0.05146	0.01583	0.00337	0.94854	0.01583	0.00337	0.05884	0.02240	0.00401	0.06453	0.06033	0.14485
46CH	60	20.78378	44.82423	0.17625	0.98223	0.00451	0.00177	0.01856	0.00540	0.00193	0.98144	0.00540	0.00193	0.02590	0.00737	0.00226	0.97410	0.00737	0.00226	0.02756	0.00872	0.00246	0.02710	0.02528	0.17625
47TX	19	19.93825	41.53270	0.17072	0.97487	0.00605	0.00206	0.02190	0.00622	0.00209	0.97810	0.00622	0.00209	0.03689	0.01051	0.00272	0.96311	0.01051	0.00272	0.03899	0.01202	0.00290	0.05946	0.05345	0.17072
49TX	8	22.36545	43.81492	0.17684	0.98097	0.00497	0.00188	0.01871	0.00567	0.00201	0.98129	0.00567	0.00201	0.02740	0.00831	0.00244	0.97260	0.00831	0.00244	0.02889	0.00949	0.00260	0.03353	0.03118	0.17684
4CO	4	9.23920	5.39139	0.06450	0.99000	0.00255	0.00140	0.01138	0.00394	0.00174	0.98862	0.00394	0.00174	0.01471	0.00460	0.00188	0.98529	0.00460	0.00188	0.01569	0.00524	0.00201	0.01273	0.01330	0.06450
50TX	4	7.12546	2.79518	0.04542	0.98447	0.00457	0.00184	0.01887	0.00733	0.00233	0.98113	0.00733	0.00233	0.02143	0.00740	0.00234	0.97857	0.00740	0.00234	0.02357	0.00908	0.00259	0.00931	0.01238	0.04542
51TX	3	11.78680	10.33187	0.08656	0.98115	0.00522	0.00195	0.01918	0.00694	0.00224	0.98082	0.00694	0.00224	0.02656	0.00869	0.00251	0.97344	0.00869	0.00251	0.02892	0.01072	0.00279	0.02508	0.02519	0.08656
52TX	4	16.07885	25.78508	0.13785	0.98181	0.00523	0.00196	0.02024	0.00802	0.00243	0.97976	0.00802	0.00243	0.02526	0.00835	0.00248	0.97474	0.00835	0.00248	0.02760	0.01069	0.00281	0.02089	0.02225	0.13785
5CO	3	16.14736	21.72662	0.12621	0.98812	0.00284	0.00144	0.01454	0.00475	0.00187	0.98546	0.00475	0.00187	0.01781	0.00506	0.00193	0.98219	0.00506	0.00193	0.01874	0.00579	0.00206	0.01515	0.01591	0.12621
6KS	5	8.01099	6.57308	0.06719	0.92070	0.01468	0.00318	0.02899	0.00821	0.00238	0.97101	0.00821	0.00238	0.11668	0.02397	0.00406	0.88332	0.02397	0.00406	0.12744	0.02995	0.00454	0.33111	0.21129	0.06719
8OK	1	14.92297	32.29321	0.15107	0.97003	0.00789	0.00236	0.02567	0.00895	0.00252	0.97433	0.00895	0.00252	0.04238	0.01309	0.00304	0.95762	0.01309	0.00304	0.04535	0.01535	0.00329	0.05883	0.05440	0.15107
CARINA_LAB	7	10.36192	15.12128	0.10483	0.98031	0.00518	0.00194	0.01959	0.00699	0.00225	0.98041	0.00699	0.00225	0.02826	0.00872	0.00252	0.97174	0.00872	0.00252	0.03081	0.01068	0.00279	0.03032	0.03274	0.10483
SUB_LAB	5	12.96961	22.25396	0.12690	0.98435	0.00461	0.00183	0.01625	0.00637	0.00215	0.98375	0.00637	0.00215	0.02159	0.00694	0.00224	0.97841	0.00694	0.00224	0.02364	0.00879	0.00252	0.02054	0.02263	0.12690
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
11CO	6	2183631	1314	115	0.00527	11.22032	4.30028	0.00140	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00140
12AZ	7	2148304	1330	143	0.00666	14.29308	4.29306	0.00141	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00141
15TX	6	1834345	1447	404	0.02202	11.67471	34.49023	0.00434	0.99996	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00011	0.00009	0.00434
16TX	4	2143136	1417	380	0.01773	10.17787	56.39518	0.00513	0.99997	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.00010	0.00011	0.00513
18TX	5	2224131	1456	606	0.02725	11.18880	36.02015	0.00402	0.99995	0.00001	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00008	0.00003	0.00000	0.00021	0.00020	0.00402
19TX	5	2224229	1444	313	0.01407	14.61697	2.60086	0.00108	0.99997	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	0.00006	0.00006	0.00108
1WY	8	2199959	1362	79	0.00359	15.46277	20.19146	0.00303	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00001	0.00303
20NM	1	2224966	1429	324	0.01456	16.61618	1.92435	0.00093	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00005	0.00005	0.00093
21NM	0	2224982	1445	318	0.01429	13.41727	1.91182	0.00093	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.00005	0.00005	0.00093
26NM	7	2224979	1442	392	0.01762	17.42444	2.47657	0.00106	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.00006	0.00005	0.00106
27NM	2	2224982	1445	359	0.01613	17.76908	6.55469	0.00172	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00005	0.00005	0.00172
28NM	12	2224993	1456	732	0.03290	14.94162	4.56988	0.00143	0.99990	0.00004	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00012	0.00005	0.00000	0.99988	0.00005	0.00000	0.00012	0.00006	0.00000	0.00021	0.00020	0.00143
2CO	8	2221074	1348	112	0.00504	18.01751	8.10281	0.00191	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00191
31NV	5	2219146	1309	96	0.00433	6.63635	1.01205	0.00068	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.00001	0.00001	0.00068
32UT	9	2224881	1344	142	0.00638	19.31438	4.17586	0.00137	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00137
33NV	8	2224809	1272	96	0.00431	8.40382	2.15728	0.00098	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00001	0.00098
34UT	8	2224829	1292	138	0.00620	15.53992	1.96189	0.00094	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00094
37CR	3	1996432	1232	111	0.00556	3.82253	2.62716	0.00115	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00001	0.00115
38CR	16	2223970	1186	105	0.00472	7.18029	17.03277	0.00277	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00001	0.00277
39CR	1	2223236	1167	99	0.00445	7.62988	19.93511	0.00299	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.00000	0.00001	0.00299
41CR	6	1993417	1295	155	0.00778	10.60924	37.44217	0.00433	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.00002	0.00002	0.00433
43GR	12	2224727	1190	158	0.00710	9.69006	31.76770	0.00378	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00378
44GR	27	2224928	1391	265	0.01191	12.84680	11.39480	0.00226	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00002	0.00000	0.00004	0.00004	0.00226
46CH	60	2224980	1443	218	0.00980	22.88874	9.97874	0.00212	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00212
47TX	19	2224962	1425	280	0.01258	20.37502	25.82627	0.00341	0.99998	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00004	0.00004	0.00341
49TX	8	2224938	1401	193	0.00867	24.32670	9.61993	0.00208	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00208
4CO	4	2220553	1296	78	0.00351	10.22997	4.72604	0.00146	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00146
50TX	4	1490399	1355	97	0.00651	6.89352	5.70054	0.00196	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00001	0.00196
51TX	3	1566455	1379	143	0.00913	11.50267	22.88350	0.00382	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.00002	0.00002	0.00382
52TX	4	1725138	1357	137	0.00794	15.54308	70.14192	0.00638	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00638
5CO	3	2222920	1364	124	0.00558	18.61357	1.91580	0.00093	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00093
6KS	5	2224993	1456	632	0.02840	6.93525	13.05943	0.00242	0.99995	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00008	0.00002	0.00000	0.99992	0.00002	0.00000	0.00008	0.00003	0.00000	0.00022	0.00021	0.00242
8OK	1	1913522	1415	238	0.01244	13.65025	67.33895	0.00593	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00004	0.00004	0.00593
