sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
C25	1672	903	0.540	478	341	0	428	0	0
C66	1274	956	0.750	484	173	0	145	0	0
C71	432	277	0.641	138	93	0	62	0	0
C72	454	325	0.716	172	40	0	89	0	0
D1	5722134	1892797	0.331	948738	2011738	0	1817599	0	0
D12	31224	12057	0.386	5887	8919	0	10248	0	0
D13	85348	33984	0.398	16734	26581	0	24783	0	0
D14	4412	814	0.184	401	754	0	2844	0	0
D15_rep	264140	99287	0.376	48677	75838	0	89015	0	0
D16	114986	43569	0.379	21452	34913	0	36504	0	0
D17	74454	29503	0.396	14457	22912	0	22039	0	0
D18	145254	58172	0.400	28624	44837	0	42245	0	0
D19	52372	21098	0.403	10415	15940	0	15334	0	0
D2	6481254	2137403	0.330	1070933	2276414	0	2067437	0	0
D20	95210	38754	0.407	18985	28786	0	27670	0	0
D21	19932	8071	0.405	3964	5803	0	6058	0	0
D22	69640	27961	0.402	13704	21140	0	20539	0	0
D23	171084	67489	0.394	33107	53455	0	50140	0	0
D24_rep	367866	144644	0.393	71090	112391	0	110831	0	0
D25	53848	22373	0.415	11052	16743	0	14732	0	0
D27	83700	33694	0.403	16470	25214	0	24792	0	0
D3	26534	9999	0.377	4853	8105	0	8430	0	0
D33	100112	39467	0.394	19452	31919	0	28726	0	0
D34	140010	56147	0.401	27671	42976	0	40887	0	0
D35	43674	17534	0.401	8563	13328	0	12812	0	0
D36	1428	530	0.371	264	455	0	443	0	0
D37	95602	38191	0.399	18595	29661	0	27750	0	0
D38	94444	38318	0.406	18776	28645	0	27481	0	0
D39	91720	36901	0.402	18133	28334	0	26485	0	0
D4	74568	29117	0.390	14194	23088	0	22363	0	0
D40	111576	44327	0.397	21827	34984	0	32265	0	0
D41	82954	32657	0.394	16012	25957	0	24340	0	0
D42	32250	12594	0.391	6071	10062	0	9594	0	0
D43	19882	7274	0.366	3603	6226	0	6382	0	0
D44	100082	39546	0.395	19332	31138	0	29398	0	0
D45	14588	5457	0.374	2690	4430	0	4701	0	0
D46	100800	39727	0.394	19419	30970	0	30103	0	0
D47	97554	38482	0.394	18885	30337	0	28735	0	0
D48	176228	66890	0.380	32774	54146	0	55192	0	0
D49	55656	21588	0.388	10527	17422	0	16646	0	0
D5	129790	51267	0.395	25110	39950	0	38573	0	0
D50	90390	35881	0.397	17544	28244	0	26265	0	0
D51	44702	17921	0.401	8767	13770	0	13011	0	0
D52	98866	38514	0.390	18734	30554	0	29798	0	0
D53	61424	24292	0.395	11848	18667	0	18465	0	0
D54	25206	9911	0.393	4879	7816	0	7479	0	0
D55	91270	36178	0.396	17787	28909	0	26183	0	0
D56	215936	84055	0.389	41275	68307	0	63574	0	0
D57	78192	30805	0.394	15027	24673	0	22714	0	0
D58	43438	17410	0.401	8471	13384	0	12644	0	0
D59	67838	26681	0.393	13044	20985	0	20172	0	0
D6	72116	27875	0.387	13645	21719	0	22522	0	0
D60	56016	22056	0.394	10819	16749	0	17211	0	0
D61	184504	71899	0.390	35384	59619	0	52986	0	0
D62	97190	39140	0.403	19284	30304	0	27746	0	0
D63	50610	20138	0.398	9899	16242	0	14230	0	0
D64	178200	70608	0.396	34818	55887	0	51705	0	0
D65_rep	970180	373527	0.385	184476	301723	0	294930	0	0
D66	818	315	0.385	164	220	0	283	0	0
D67	1020	132	0.129	68	678	0	210	0	0
D68	366	170	0.464	81	90	0	106	0	0
D69	86	26	0.302	12	23	0	37	0	0
D7	63816	24466	0.383	12010	18900	0	20450	0	0
D70_rep	316778	102589	0.324	51063	78576	0	135613	0	0
D71_rep	506552	147852	0.292	72884	125222	0	233478	0	0
D72	25866	9035	0.349	4450	7632	0	9199	0	0
D73	31454	12361	0.393	5954	9459	0	9634	0	0
D74	11802	4647	0.394	2265	3573	0	3582	0	0
D75	77216	30394	0.394	14845	24231	0	22591	0	0
D76	66934	26782	0.400	13163	20911	0	19241	0	0
D77	55192	21624	0.392	10528	17277	0	16291	0	0
D78	148202	57943	0.391	28525	47402	0	42857	0	0
D79	61806	23870	0.386	11764	19319	0	18617	0	0
D8	186820	73224	0.392	35840	58971	0	54625	0	0
D80	132120	52099	0.394	25454	41357	0	38664	0	0
D81	173906	67920	0.391	33194	54766	0	51220	0	0
