# For mean_cov_ns, the coverage at each locus is weighted by the number of
# samples present at that locus (i.e. coverage at shared loci counts more).
sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns
C25	362	425	1.174	1.197
C66	359	472	1.315	1.274
C71	111	139	1.252	1.158
C72	140	153	1.093	1.120
D1	77857	944059	12.126	21.850
D12	1046	6170	5.899	6.325
D13	1282	17250	13.456	14.999
D14	267	413	1.547	1.567
D15_rep	2254	50610	22.453	29.470
D16	1645	22117	13.445	17.126
D17	1300	15046	11.574	13.122
D18	1481	29548	19.951	23.826
D19	1251	10683	8.540	9.323
D2	67933	1066470	15.699	25.605
D20	1338	19769	14.775	16.740
D21	872	4107	4.710	5.068
D22	1328	14257	10.736	11.795
D23	1454	34382	23.646	27.276
D24_rep	2560	73554	28.732	38.555
D25	1214	11321	9.325	10.116
D27	1294	17224	13.311	14.861
D3	1054	5146	4.882	5.284
D33	1373	20015	14.578	16.568
D34	1467	28476	19.411	22.824
D35	1182	8971	7.590	8.288
D36	185	266	1.438	1.471
D37	1311	19596	14.947	16.599
D38	1383	19542	14.130	15.827
D39	1387	18768	13.531	15.256
D4	1301	14923	11.470	12.785
D40	1602	22500	14.045	17.005
D41	1380	16645	12.062	13.766
D42	1138	6523	5.732	6.202
D43	919	3671	3.995	4.404
D44	1350	20214	14.973	17.119
D45	778	2767	3.557	3.806
D46	1362	20308	14.910	16.932
D47	1343	19597	14.592	16.538
D48	1572	34116	21.702	26.281
D49	1234	11061	8.964	9.957
D5	1434	26157	18.241	21.187
D50	1321	18337	13.881	15.640
D51	1167	9154	7.844	8.596
D52	1314	19780	15.053	16.948
D53	1212	12444	10.267	11.454
D54	1053	5032	4.779	5.147
D55	1406	18391	13.080	15.007
D56	1745	42780	24.516	32.525
D57	1365	15778	11.559	13.153
D58	1177	8939	7.595	8.408
D59	1271	13637	10.729	12.098
D6	1260	14230	11.294	12.422
D60	1183	11237	9.499	10.595
D61	1501	36515	24.327	28.545
D62	1407	19856	14.112	16.061
D63	1279	10239	8.005	8.809
D64	1561	35790	22.928	27.302
D65_rep	2688	189051	70.331	101.232
D66	127	151	1.189	1.115
D67	56	64	1.143	1.156
D68	76	89	1.171	1.183
D69	12	14	1.167	1.161
D7	1291	12456	9.648	10.697
D70_rep	2628	51526	19.607	26.520
D71_rep	2672	74968	28.057	43.119
D72	1139	4585	4.025	4.354
D73	996	6407	6.433	6.927
D74	807	2382	2.952	3.168
D75	1296	15549	11.998	13.662
D76	1229	13619	11.081	12.256
D77	1165	11096	9.524	10.474
D78	2577	29418	11.416	21.999
D79	1298	12106	9.327	10.644
D8	1835	37384	20.373	28.226
D80	1482	26645	17.979	20.728
D81	1470	34726	23.623	26.977
D82	1189	11356	9.551	10.742
D83	1326	18578	14.011	15.832
D84	1141	7586	6.649	7.160
D85	1277	18565	14.538	16.223
D86	1417	17338	12.236	14.329
D87	1492	29122	19.519	22.674
D88	1717	95697	55.735	72.242
D89	1170	8828	7.545	8.222
D90	1133	8044	7.100	7.704
D91	1250	12910	10.328	11.583
D92	1251	12861	10.281	11.436
D93	1155	9422	8.158	8.823
D94	1195	8887	7.437	8.161
E1	2554	99210	38.845	44.543
E10	2362	46687	19.766	21.504
E11	2301	25299	10.995	11.780
E12	2468	69602	28.202	31.031
E13	2286	19679	8.608	9.042
E14	15	17	1.133	1.040
E15_rep	2949	295054	100.052	120.315
E16	234	264	1.128	1.143
E17	2740	101796	37.152	45.215
E18	2467	100149	40.595	44.671
E19	2439	92732	38.021	41.354
E20	2493	114439	45.904	51.212
E21	2408	104640	43.455	46.815
E22	2413	94167	39.025	42.374
E23	2463	99692	40.476	44.896
E24_rep	2629	137465	52.288	57.783
E25	2486	131295	52.814	57.848
E26	2452	104041	42.431	46.664
E27	2372	81971	34.558	37.606
E28	2456	122107	49.718	54.991
E29	1405	14287	10.169	11.396
E3	2255	27149	12.039	13.388
E30	1432	20422	14.261	15.858
E31	2393	40171	16.787	17.902
E32	2485	66075	26.590	30.040
E33	2464	77894	31.613	34.124
E34	2722	110305	40.524	49.296
E35	2428	86027	35.431	38.040
E36	2469	82184	33.286	36.440
E37	2580	98687	38.251	43.433
E38	2612	85897	32.886	38.105
E39	2426	72700	29.967	31.996
E4	2625	142533	54.298	62.537
E40	2722	42348	15.558	19.347
E41	2574	90534	35.172	40.096
E42	2387	67937	28.461	30.580
E43	2559	91829	35.885	40.881
E44	2617	89430	34.173	39.486
E45	2483	80376	32.371	35.490
E46	2568	79997	31.151	35.249
E47	2666	50479	18.934	22.056
E48	2540	31964	12.584	15.444
E49	2455	83523	34.022	36.936
E5	2416	79376	32.854	35.901
E50	2483	76302	30.730	33.340
E51	2465	101170	41.043	45.141
E52	2392	92145	38.522	41.261
E53	2442	93401	38.248	41.613
E54	2313	20861	9.019	9.380
