row	col	km	fst	g_dist	label	Group
11CO	12AZ	971.28883678376	0.049311	0.0518686973342492	11CO-12AZ	carinulata
11CO	31NV	899.220415313705	0.0641573	0.0685556450886458	11CO-31NV	carinulata
11CO	32UT	834.468989140706	0.0356362	0.0369530668820211	11CO-32UT	carinulata
11CO	33NV	916.796823807859	0.0407705	0.042503384226611	11CO-33NV	carinulata
1WY	2CO	783.19803494029	0.0599684	0.0637940256476484	1WY-2CO	carinulata
1WY	31NV	1042.05387831288	0.0875867	0.0959945454543462	1WY-31NV	carinulata
1WY	32UT	977.136826325342	0.0920799	0.101418505879537	1WY-32UT	carinulata
1WY	33NV	1078.42276995641	0.0942731	0.104085569281425	1WY-33NV	carinulata
1WY	34UT	738.438798720296	0.087965	0.0964491494295723	1WY-34UT	carinulata
1WY	4CO	840.341824104478	0.0755254	0.081695484116059	1WY-4CO	carinulata
1WY	5CO	889.579777076032	0.0604816	0.0643751096306363	1WY-5CO	carinulata
2CO	31NV	870.227237384289	0.0756607	0.0818538170994136	2CO-31NV	carinulata
2CO	32UT	801.322314900346	0.0534987	0.0565225848078603	2CO-32UT	carinulata
2CO	33NV	891.796405674182	0.0667137	0.0714825664964759	2CO-33NV	carinulata
2CO	4CO	119.009711615335	0.0470342	0.0493556012188475	2CO-4CO	carinulata
2CO	5CO	126.216050289465	0.0428972	0.044819845893252	2CO-5CO	carinulata
31NV	33NV	36.6696704529211	0.0523396	0.0552303335667503	31NV-33NV	carinulata
32UT	33NV	105.95952698411	0.0319688	0.0330245554068918	32UT-33NV	carinulata
34UT	4CO	845.983456663907	0.066878	0.0716712284138623	34UT-4CO	carinulata
34UT	5CO	844.848903129848	0.0430432	0.0449792508919943	34UT-5CO	carinulata
4CO	5CO	64.0269569709951	0.0440552	0.0460855061924078	4CO-5CO	carinulata
1WY	11CO	901.174932642842	0.0916695	0.100920865257745	1WY-11CO	carinulata
1WY	12AZ	1213.85606584521	0.0866242	0.0948396049030421	1WY-12AZ	carinulata
2CO	11CO	118.007296515342	0.0578781	0.0614337698762761	2CO-11CO	carinulata
2CO	12AZ	962.231725647574	0.0548467	0.0580294223169934	2CO-12AZ	carinulata
31NV	12AZ	177.898790331652	0.0556314	0.0589085659984883	31NV-12AZ	carinulata
32UT	12AZ	236.820185666465	0.031171	0.0321738924000004	32UT-12AZ	carinulata
32UT	31NV	73.7796194967671	0.058997	0.0626958681321951	32UT-31NV	carinulata
33NV	12AZ	141.769582861766	0.0407264	0.0424554579631922	33NV-12AZ	carinulata
34UT	11CO	793.408723566514	0.0281264	0.0289403889559301	34UT-11CO	carinulata
34UT	12AZ	481.441064210784	0.0358058	0.0371354650339112	34UT-12AZ	carinulata
34UT	2CO	727.640874288164	0.0592754	0.0630103645636566	34UT-2CO	carinulata
34UT	31NV	305.547152578917	0.0401608	0.0418411750634898	34UT-31NV	carinulata
34UT	32UT	246.812482176998	0.0234809	0.024045510220947	34UT-32UT	carinulata
34UT	33NV	342.196059842609	0.0376177	0.0390881045921148	34UT-33NV	carinulata
4CO	11CO	129.835721999592	0.0685412	0.0735847897942453	4CO-11CO	carinulata
4CO	12AZ	1073.04469588789	0.0611531	0.0651363923127402	4CO-12AZ	carinulata
4CO	31NV	986.523601708991	0.0902866	0.0992473014028374	4CO-31NV	carinulata
4CO	32UT	918.339513668012	0.065992	0.0706546410737381	4CO-32UT	carinulata
4CO	33NV	1007.22207178932	0.0882167	0.0967518268869368	4CO-33NV	carinulata
5CO	11CO	76.5611661394665	0.0498917	0.0525115926258091	5CO-11CO	carinulata
5CO	12AZ	1043.48280781856	0.0540082	0.0570916153818669	5CO-12AZ	carinulata
5CO	31NV	966.154478059157	0.0608415	0.0647829945637504	5CO-31NV	carinulata
5CO	32UT	899.945758988428	0.064553	0.0690076508877574	5CO-32UT	carinulata
5CO	33NV	984.954119546852	0.0481208	0.0505534735920272	5CO-33NV	carinulata
