row	eco1	col	eco2	km	fst	g_dist	label	Group	Ecotype
2CO	1	4CO	1	119.0097116	0.0470342	0.049355601	2CO-4CO	carinulata	within
1WY	1	2CO	1	783.1980349	0.0599684	0.063794026	1WY-2CO	carinulata	within
1WY	1	4CO	1	840.3418241	0.0755254	0.081695484	1WY-4CO	carinulata	within
2CO	1	32UT	2	801.3223149	0.0534987	0.056522585	2CO-32UT	carinulata	across
2CO	1	12AZ	2	962.2317256	0.0548467	0.058029422	2CO-12AZ	carinulata	across
4CO	1	12AZ	2	1073.044696	0.0611531	0.065136392	4CO-12AZ	carinulata	across
4CO	1	32UT	2	918.3395137	0.065992	0.070654641	4CO-32UT	carinulata	across
2CO	1	33NV	2	891.7964057	0.0667137	0.071482566	2CO-33NV	carinulata	across
2CO	1	31NV	2	870.2272374	0.0756607	0.081853817	2CO-31NV	carinulata	across
1WY	1	12AZ	2	1213.856066	0.0866242	0.094839605	1WY-12AZ	carinulata	across
1WY	1	31NV	2	1042.053878	0.0875867	0.095994545	1WY-31NV	carinulata	across
1WY	1	34UT	2	738.4387987	0.087965	0.096449149	1WY-34UT	carinulata	across
4CO	1	33NV	2	1007.222072	0.0882167	0.096751827	4CO-33NV	carinulata	across
4CO	1	31NV	2	986.5236017	0.0902866	0.099247301	4CO-31NV	carinulata	across
1WY	1	32UT	2	977.1368263	0.0920799	0.101418506	1WY-32UT	carinulata	across
1WY	1	33NV	2	1078.42277	0.0942731	0.104085569	1WY-33NV	carinulata	across
2CO	1	5CO	3	126.2160503	0.0428972	0.044819846	2CO-5CO	carinulata	across
4CO	1	5CO	3	64.02695697	0.0440552	0.046085506	4CO-5CO	carinulata	across
2CO	1	11CO	3	118.0072965	0.0578781	0.06143377	2CO-11CO	carinulata	across
1WY	1	5CO	3	889.5797771	0.0604816	0.06437511	1WY-5CO	carinulata	across
4CO	1	11CO	3	129.835722	0.0685412	0.07358479	4CO-11CO	carinulata	across
1WY	1	11CO	3	901.1749326	0.0916695	0.100920865	1WY-11CO	carinulata	across
34UT	2	2CO	1	727.6408743	0.0592754	0.063010365	34UT-2CO	carinulata	across
34UT	2	4CO	1	845.9834567	0.066878	0.071671228	34UT-4CO	carinulata	across
34UT	2	32UT	2	246.8124822	0.0234809	0.02404551	34UT-32UT	carinulata	within
32UT	2	12AZ	2	236.8201857	0.031171	0.032173892	32UT-12AZ	carinulata	within
32UT	2	33NV	2	105.959527	0.0319688	0.033024555	32UT-33NV	carinulata	within
34UT	2	12AZ	2	481.4410642	0.0358058	0.037135465	34UT-12AZ	carinulata	within
34UT	2	33NV	2	342.1960598	0.0376177	0.039088105	34UT-33NV	carinulata	within
34UT	2	31NV	2	305.5471526	0.0401608	0.041841175	34UT-31NV	carinulata	within
33NV	2	12AZ	2	141.7695829	0.0407264	0.042455458	33NV-12AZ	carinulata	within
31NV	2	33NV	2	36.66967045	0.0523396	0.055230334	31NV-33NV	carinulata	within
31NV	2	12AZ	2	177.8987903	0.0556314	0.058908566	31NV-12AZ	carinulata	within
32UT	2	31NV	2	73.7796195	0.058997	0.062695868	32UT-31NV	carinulata	within
34UT	2	11CO	3	793.4087236	0.0281264	0.028940389	34UT-11CO	carinulata	across
34UT	2	5CO	3	844.8489031	0.0430432	0.044979251	34UT-5CO	carinulata	across
11CO	3	32UT	2	834.4689891	0.0356362	0.036953067	11CO-32UT	carinulata	across
11CO	3	33NV	2	916.7968238	0.0407705	0.042503384	11CO-33NV	carinulata	across
5CO	3	33NV	2	984.9541195	0.0481208	0.050553474	5CO-33NV	carinulata	across
11CO	3	12AZ	2	971.2888368	0.049311	0.051868697	11CO-12AZ	carinulata	across
5CO	3	12AZ	2	1043.482808	0.0540082	0.057091615	5CO-12AZ	carinulata	across
5CO	3	31NV	2	966.1544781	0.0608415	0.064782995	5CO-31NV	carinulata	across
11CO	3	31NV	2	899.2204153	0.0641573	0.068555645	11CO-31NV	carinulata	across
5CO	3	32UT	2	899.945759	0.064553	0.069007651	5CO-32UT	carinulata	across
5CO	3	11CO	3	76.56116614	0.0498917	0.052511593	5CO-11CO	carinulata	within
