row	col	km	fst	g_dist	label	Group
37CR	41CR	20.9994794137011	0.147478	0.172990257142924	37CR-41CR	elongata
38CR	41CR	36.6960483732545	0.13415	0.154934457469539	38CR-41CR	elongata
39CR	41CR	36.0508378797945	0.109426	0.122871316701363	39CR-41CR	elongata
38CR	37CR	20.7021372713089	0.204365	0.256857729989254	38CR-37CR	elongata
39CR	37CR	19.8304946614535	0.128036	0.146836337279979	39CR-37CR	elongata
39CR	38CR	0.906155854687509	0.0730688	0.0788287199740391	39CR-38CR	elongata
43GR	37CR	520.565321895727	0.239842	0.315515984834732	43GR-37CR	elongata
43GR	38CR	519.077056255177	0.222819	0.286701553434785	43GR-38CR	elongata
43GR	39CR	518.88119402602	0.207702	0.262151362239965	43GR-39CR	elongata
43GR	41CR	539.193693286488	0.177087	0.215195287958751	43GR-41CR	elongata
44GR	37CR	595.586274300586	0.183389	0.224573266830841	44GR-37CR	elongata
44GR	38CR	595.433171702645	0.207309	0.261525613385291	44GR-38CR	elongata
44GR	39CR	595.182713023277	0.18376	0.225129863765559	44GR-39CR	elongata
44GR	41CR	613.522093101427	0.169601	0.204240371195052	44GR-41CR	elongata
44GR	43GR	83.7681044670247	0.100971	0.112311171274786	44GR-43GR	elongata
