row	eco1	col	eco2	km	fst	g_dist	label	Group	Ecotype
37CR	1	41CR	1	20.99947941	0.147478	0.172990257	37CR-41CR	elongata	within
38CR	1	41CR	1	36.69604837	0.13415	0.154934457	38CR-41CR	elongata	within
39CR	1	41CR	1	36.05083788	0.109426	0.122871317	39CR-41CR	elongata	within
38CR	1	37CR	1	20.70213727	0.204365	0.25685773	38CR-37CR	elongata	within
39CR	1	37CR	1	19.83049466	0.128036	0.146836337	39CR-37CR	elongata	within
39CR	1	38CR	1	0.906155855	0.0730688	0.07882872	39CR-38CR	elongata	within
43GR	2	37CR	1	520.5653219	0.239842	0.315515985	43GR-37CR	elongata	across
43GR	2	38CR	1	519.0770563	0.222819	0.286701553	43GR-38CR	elongata	across
43GR	2	39CR	1	518.881194	0.207702	0.262151362	43GR-39CR	elongata	across
43GR	2	41CR	1	539.1936933	0.177087	0.215195288	43GR-41CR	elongata	across
44GR	2	37CR	1	595.5862743	0.183389	0.224573267	44GR-37CR	elongata	across
44GR	2	38CR	1	595.4331717	0.207309	0.261525613	44GR-38CR	elongata	across
44GR	2	39CR	1	595.182713	0.18376	0.225129864	44GR-39CR	elongata	across
44GR	2	41CR	1	613.5220931	0.169601	0.204240371	44GR-41CR	elongata	across
44GR	2	43GR	2	83.76810447	0.100971	0.112311171	44GR-43GR	elongata	within
