SpeciesCode,HybridatRelease,State,Year,CageorField,Beetle Source,Date of introduction,Eggs,Larvae,Pupae,Adults,Total Release Size,Species,Origin,Location,,FullLocation,County,GPS-Lat,GPS-Long,Tamarisk species,Scientist ,Monitored,Established,HybridEstab,Publications ,Notes
DCR,N,CA,1999,Cage,Albany colony,Aug-99,0,0,0,400,400,carinulata,Fukang,Hunter-Liggett,,"Ft. Hunter-Liggett, near Lockwood",Monterey,35.9,-121.08,ramosissima,RCarruthers,Y,N,N,Carruthers et al. 2008,Failure to overwinter
DCR,N,CA,1999,Cage,Albany colony,Aug-99,0,0,0,900,900,carinulata,Fukang,Tinemaha Reservoir,,"Tinemaha Reservoir, Owens Valley near Big Pine. This is presumably the Bishop CA site",Inyo,37.06,-118.24,ramosissima,RCarruthers,Y,Y,N,Carruthers et al. 2008,
DCR,N,CA,2000,Cage,?Other field cage sites,May-00,,,,,,carinulata,Fukang,Cache Creek,,Not sure which site in the creek,Yolo,,,,,Y,N,N,Carruthers et al. 2008,
DCR,N,CA,2001,Cage,"Albany colony-From Schurz, NV stock; Tinemaha field cage",5/18/2001-7/18/2001,560,200,0,394,2504,carinulata,Fukang,Cache Creek,,"Two sites-Bear Creek, near highways 16 x 20; and near Madison. The most upstream GPS shown",Colusa and Yolo,39.01,-122.35,parviflora,"R. Carruthers, J. Herr, A. Herrera, T. Dudley",Y,N,N,Pratt et al. 2018, 
DCR,N,CA,2001,Cage,Unknown,3/11/2001-6/28/2001,0,0,0,182,182,carinulata,Fukang,Hunter-Liggett,,"San Antonio River, Fort Hunter Liggett (Monterey County)",Monterey,35.9,-121.08,ramosissima,T. Dudley and N. Carruthers,Y,N,N,Pratt et al. 2018,
DCR,N,CA,2001,Field,Albany and Palisades colony; Schurz field; Tinemaha field cage,5/25/2001-8/2/2001,190,"4,392",0,"1,959","6,541",carinulata,Fukang,Tinemaha Reservoir,,"Tinemaha Reservoir, Owens Valley near Big Pine. This is presumably the Bishop CA site",Inyo,37.06,-118.24,ramosissima,"R. Carruthers, A. Herrera, D. Bean, T. Dudley",Y,Y,N,Pratt et al. 2018,
DCR,N,CA,2002,Cage,Unknown,8/15/2002,0,0,0,1350,1350,carinulata,Fukang,Cache Creek,,"Cache Creek, near Madison",Yolo,38.71,-121.93,parviflora,R. Carruthers,Y,N,N,Pratt et al. 2018,
DCR,N,CA,2002,Field,Unknown,6/1/2002-8/31/2002,0,0,0,4050,4050,carinulata,Fukang,Tinemaha Reservoir,,"Tinemaha Reservoir, Owens Valley near Big Pine. This is presumably the Bishop CA site",Inyo,37.06,-118.24,ramosissima,A. Herrera,Y,Y,N,Pratt et al. 2018,
DE,N,CA,2003,Cage,Unknown-prob Albany or Temple colony,8/15/2003,0,0,0,950,950,elongata,Crete,Cache Creek,,"Cache Creek Conservancy, near Woodland",Yolo,38.69,-121.89,parviflora,J. Herr,Y,y?,N,,
DE,N,CA,2003,Field,Unknown-prob Albany or Temple colony,10/15/2003,0,0,0,600,600,elongata,Crete,Cache Creek,,"Cache Creek Conservancy, near Woodland",Yolo,38.69,-121.89,parviflora,R. Carruthers,Y,Y?,N,,
DE,N,CA,2004,Field,Prob. 2003 Cache Creek cage+Albany colony,4/29/04-7/13/04,72500,119530,0,0,192030,elongata,Crete,Cache Creek,,Six sites-Bear Creek near Hwy 16X20; near Rumsey; near Brooks; near Madison; Cache Creek Conservancy near Woodland; near Woodland. Most upstream GPS,Colusa and Yolo,39.01,-122.35,parviflora,"R. Carruthers, J. Herr, D. Bean",Y,Y?,N,,
DE,N,CA,2005,Field,"Unknown, Albany colony?",5/1/2005-9/30/2005,0,0,0,8120,8120,elongata,Crete,Cache Creek,,"Two sites-Rumsey, and Cache Creek Conservancy, near Woodland",Yolo,38.91,-122.24,parviflora,J. Herr,Y,Y?,N,,
DE,N,CA,2006,Field,"Unknown, Albany colony?",5/1/2006-9/30/2006,0,0,0,4730,4730,elongata,Crete,Cache Creek,,Two sites-Rumsey and Madison,Yolo,38.91,-122.24,parviflora,R. Carruthers and J. Herr,Y,Y,N,Pratt et al. 2018,
DE,N,CA,2007,Field,Unknown,5/1/2007-8/31/2007,0,0,0,4270,4270,elongata,Crete,Cache Creek,,New site-near Brooks,Yolo,38.77,-122.15,parviflora,J Herr,Y,Y,N,Pratt et al. 2018,
DE,N,CA,2007,Field,Cache Creek-Rumsey,6/15/2007,0,0,0,"8,000","16,000",elongata,Crete,Stony Creek,,"Lower Stony Creek. Two sites Glenn County. Arbuckle Ranch, Rd 4; and Baker Ranch, Rd 7 and Rd H. Upper Stony Creek, two sites, near end of Roser Rd. ",Glenn and Tehama,39.8079,-122.30434,parviflora,B. Villegas,Y,N,N,Pratt et al. 2018,Pers. comm. M. Pitcairn 2017 and Obs P. Moran 2013-2015
DE,N,CA,2008,Field,Unknown,6/15/2008,0,0,0,3000,3000,elongata,Crete,Cache Creek,,New site-near Yolo,Yolo,38.74,-121.82,parviflora,R. Carruthers and J. Herr,Y,Y,N,Pratt et al. 2018,
DE,N,CA,2008,Field,Cache Creek-Rumsey,6/15/2008,0,0,0,8000,8000,elongata,Crete,Stony Creek,,"Lower Stony Creek. Two sites Glenn County. Arbuckle Ranch, Rd 4; and Baker Ranch, Rd 7 and Rd H. Upper Stony Creek, two sites, near end of Roser Rd. ",Glenn and Tehama,39.8079,-122.30434,parviflora,B. Villegas,Y,N,N,Pratt et al. 2018,Pers. comm. M. Pitcairn 2017 and Obs P. Moran 2013-2015
DE,N,CA,2009,Field,Cache Creek sites,9/15/2009,,,,,6000,elongata,Crete,Los Gatos Canyon,,Six sites. Los Gatos Canyon Rd.,Fresno,36.2327,-120.55759,ramosissima,B. Villegas,Y,N,N,Pratt et al. 2018,Pers. comm M. Pitcairn 2017
