Species,ID,LOCATION,Latitude,Longitude,State,County,Stream,River Basin,Area,Year First Released,Year Found,Source,
elongata,DEEstab,"White River Reservoir, White River inflow",33.48904,-101.07108,Texas,Crosby,White River,Brazos,app.,2007,,Knutson and Muegge 2012,
elongata,DEEstab,Sweetwater,32.541551,-100.37065,Texas,Fisher,,Brazos,App.,2008,,Knutson et al. 2012,
elongata,DEEstab,Huber Site at Lake Meredith,35.719976,-101.469435,Texas,Hutchinson,Canadian,Canadian,from map Michels and Jones 2014,2010,,Michels et al. 2013,
elongata,DEEstab,Plum Creek at Lake Meredith,35.591597,-101.724792,Texas,Potter,Canadian,Canadian,from map Michels and Jones 2013,2010,,Michels et al. 2013,
elongata,DEEstab,Lake Thomas,32.60480,-101.21610,Texas,Borden,Colorado,Colorado,Cage,2003,,"DeLoach et al. 2011, Knutson and Muegge 2012",
elongata,DEEstab,"Higgins Ranch, 8 km E Big Spring, 32.251N, -101.387W",32.25107,-101.38651,Texas,Howard,Beals Creek,Colorado,Cage,2004,,DeLoach et al. 2011,
elongata,DEEstab,Sulphur Draw,32.33219,-101.75843,Texas,Martin,Sulphur Draw,Colorado,Cage,2006,,"Knutson et al. 2006, Knutson and Muegge 2012",
elongata,DEEstab,W Lake Colorado City (Gillespie),32.36778762,-100.9693792,Texas,Mitchell,,Colorado,Cage,2006,,"Knutson et al. 2006, Knutson and Muegge 2012",
elongata,DEEstab,I-20 Bridge at Colorado River,32.389351,-100.950863,Texas,Mitchell,Colorado,Colorado,,2009,,"Knutson and Muegge 2010, Knutson and Muegge 2012",
elongata,DEEstab,Bradberry Ranch ,32.19516,-100.85666,Texas,Mitchell,,Colorado,,2009,,"Knutson and Muegge 2010, Knutson and Muegge 2012",
elongata,DEEstab,Wright Ranch,32.45476,-100.95089,Texas,Mitchell,,Colorado,,2009,,Knutson and Muegge 2010,
elongata,DEEstab,"Lake Arthur, NW",33.02200,-104.29933,New Mexico,Chavez,Pecos River,Pecos,app.,2003,,"Gardner 2010, DeLoach et al. 2011 (from Artesia)",
elongata,DEEstab,"Imperial, Cooper Ranch",31.31432,-102.66010,Texas,Pecos,Pecos,Pecos,app. Location,2005,,"Knutson et al. 2006, Muegge and Knutson 2007, Knutson and Muegge 2008",
elongata,DEEstab,Pecos,31.48230,-103.48880,Texas,Reeves,Pecos,Pecos,Cage,2005,,DeLoach et al. 2011,
elongata,DEEstab,Balmorhea Lake,30.97824,-103.72918,Texas,Reeves,Pecos,Pecos,cage,2007,,Tracy and DeLoach 2010,
elongata,DEEstab,Guthrie,33.60518,-100.46057,Texas,King,South Wichita River,Red,cage,2008,,"Knutson and Muegge 2008, Knutson and Muegge 2011, Knutson and Muegge 2012",
