# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
11CO	5	11.20427	13.77060	0.10245	0.98540	0.00348	0.00163	0.01634	0.00452	0.00186	0.98366	0.00452	0.00186	0.02183	0.00615	0.00216	0.97817	0.00615	0.00216	0.02321	0.00706	0.00232	0.02434	0.02260	0.10245
12AZ	8	12.91515	11.01630	0.09135	0.98586	0.00354	0.00164	0.01810	0.00627	0.00218	0.98190	0.00627	0.00218	0.02081	0.00602	0.00214	0.97919	0.00602	0.00214	0.02245	0.00765	0.00241	0.01482	0.01430	0.09135
15TX	4	12.67907	18.76482	0.11479	0.95214	0.00993	0.00264	0.03311	0.00747	0.00229	0.96689	0.00747	0.00229	0.07130	0.01739	0.00349	0.92870	0.01739	0.00349	0.07581	0.02031	0.00378	0.14975	0.10943	0.11479
16TX	6	11.07066	28.98715	0.14384	0.95191	0.01079	0.00277	0.02384	0.00859	0.00248	0.97616	0.00859	0.00248	0.07000	0.01741	0.00353	0.93000	0.01741	0.00353	0.07731	0.02318	0.00407	0.19267	0.15222	0.14384
18TX	7	13.16678	20.15862	0.11861	0.90681	0.01764	0.00351	0.01824	0.00404	0.00168	0.98176	0.00404	0.00168	0.13375	0.03131	0.00467	0.86625	0.03131	0.00467	0.14015	0.03460	0.00491	0.32394	0.21470	0.11861
19TX	4	10.78481	17.94240	0.11233	0.96511	0.00850	0.00244	0.02511	0.00676	0.00218	0.97489	0.00676	0.00218	0.05037	0.01453	0.00320	0.94963	0.01453	0.00320	0.05466	0.01759	0.00352	0.08174	0.07234	0.11233
1WY	8	13.86842	24.82467	0.13288	0.97730	0.00373	0.00163	0.01291	0.00462	0.00181	0.98709	0.00462	0.00181	0.03691	0.00672	0.00219	0.96309	0.00672	0.00219	0.03953	0.00889	0.00251	0.18572	0.15042	0.13288
20NM	5	13.82018	20.36380	0.12030	0.97222	0.00598	0.00206	0.02527	0.00749	0.00231	0.97473	0.00749	0.00231	0.04206	0.01042	0.00272	0.95794	0.01042	0.00272	0.04520	0.01264	0.00300	0.07400	0.06907	0.12030
21NM	2	10.59831	13.44360	0.09716	0.96921	0.00752	0.00230	0.02656	0.00798	0.00237	0.97344	0.00798	0.00237	0.04465	0.01178	0.00288	0.95535	0.01178	0.00288	0.04897	0.01501	0.00325	0.06782	0.06672	0.09716
26NM	5	13.71600	20.94820	0.12150	0.96308	0.00761	0.00232	0.03172	0.00769	0.00233	0.96828	0.00769	0.00233	0.05590	0.01332	0.00306	0.94410	0.01332	0.00306	0.06009	0.01639	0.00340	0.09592	0.08171	0.12150
27NM	3	12.83157	16.40391	0.10752	0.96991	0.00686	0.00220	0.02779	0.00751	0.00230	0.97221	0.00751	0.00230	0.04467	0.01141	0.00284	0.95533	0.01141	0.00284	0.04850	0.01431	0.00318	0.05903	0.05908	0.10752
28NM	8	19.80600	23.80871	0.12890	0.88726	0.02294	0.00400	0.03961	0.00635	0.00211	0.96039	0.00635	0.00211	0.15421	0.03749	0.00511	0.84579	0.03749	0.00511	0.15838	0.03953	0.00525	0.30989	0.17887	0.12890
2CO	17	16.84478	19.66222	0.12113	0.98792	0.00278	0.00144	0.01428	0.00411	0.00175	0.98572	0.00411	0.00175	0.01832	0.00516	0.00196	0.98168	0.00516	0.00196	0.01897	0.00555	0.00203	0.01819	0.01705	0.12113
31NV	3	6.22989	1.82288	0.03737	0.98780	0.00280	0.00147	0.01578	0.00543	0.00204	0.98422	0.00543	0.00204	0.01849	0.00568	0.00209	0.98151	0.00568	0.00209	0.02029	0.00689	0.00230	0.01150	0.01318	0.03737
32UT	11	16.30322	37.72789	0.16254	0.97111	0.00474	0.00182	0.01940	0.00663	0.00215	0.98060	0.00663	0.00215	0.04664	0.00828	0.00241	0.95336	0.00828	0.00241	0.04916	0.01021	0.00267	0.23815	0.17953	0.16254
33NV	3	7.63199	4.40626	0.05893	0.98620	0.00358	0.00168	0.01867	0.00734	0.00241	0.98133	0.00734	0.00241	0.02008	0.00635	0.00224	0.97992	0.00635	0.00224	0.02218	0.00820	0.00254	0.00955	0.01178	0.05893
34UT	10	14.25486	9.61307	0.08643	0.98514	0.00340	0.00162	0.01830	0.00518	0.00201	0.98170	0.00518	0.00201	0.02250	0.00637	0.00222	0.97750	0.00637	0.00222	0.02339	0.00689	0.00231	0.01800	0.01719	0.08643
37CR	1	4.51942	3.55722	0.05059	0.89921	0.02444	0.00419	0.02017	0.00822	0.00243	0.97983	0.00822	0.00243	0.13242	0.03906	0.00530	0.86758	0.03906	0.00530	0.14834	0.04960	0.00597	0.26355	0.19588	0.05059
38CR	14	8.22475	12.94945	0.10440	0.98313	0.00496	0.00204	0.01865	0.00715	0.00245	0.98135	0.00715	0.00245	0.02327	0.00793	0.00258	0.97673	0.00793	0.00258	0.02584	0.01001	0.00290	0.01548	0.01800	0.10440
39CR	3	9.20085	11.74334	0.09976	0.98321	0.00466	0.00199	0.02390	0.01126	0.00309	0.97610	0.01126	0.00309	0.02371	0.00804	0.00261	0.97629	0.00804	0.00261	0.02640	0.01037	0.00296	0.00672	0.01525	0.09976
40CR	0	2.27789	0.67451	0.02640	0.98735	0.00493	0.00226	0.01808	0.01349	0.00373	0.98192	0.01349	0.00373	0.01514	0.00627	0.00255	0.98486	0.00627	0.00255	0.02214	0.01494	0.00393	0.00654	0.00908	0.02640
41CR	7	9.80204	31.29217	0.15091	0.94921	0.01074	0.00280	0.02600	0.01221	0.00298	0.97400	0.01221	0.00298	0.07496	0.01686	0.00350	0.92504	0.01686	0.00350	0.08443	0.02508	0.00427	0.26025	0.19138	0.15091
42CR	1	3.73956	1.83157	0.04035	0.97971	0.00669	0.00244	0.02265	0.01152	0.00320	0.97735	0.01152	0.00320	0.02638	0.00980	0.00295	0.97362	0.00980	0.00295	0.03210	0.01517	0.00367	0.01775	0.01992	0.04035
43GR	9	11.40168	27.64860	0.14517	0.96812	0.00715	0.00233	0.02273	0.00782	0.00244	0.97727	0.00782	0.00244	0.04744	0.01241	0.00307	0.95256	0.01241	0.00307	0.05063	0.01462	0.00334	0.12690	0.10931	0.14517
44GR	13	10.13724	27.93108	0.14130	0.93200	0.01282	0.00303	0.02213	0.00688	0.00222	0.97787	0.00688	0.00222	0.10114	0.02262	0.00402	0.89886	0.02262	0.00402	0.10846	0.02707	0.00440	0.28385	0.19794	0.14130
45UZ	1	1.00000	0.00000	0.00000	0.99457	0.00269	0.00204	0.01085	0.01075	0.00408	0.98915	0.01075	0.00408	0.00543	0.00269	0.00204	0.99457	0.00269	0.00204	0.01085	0.01075	0.00408	0.00000	0.00000	0.00000
46CH	36	20.99580	41.07001	0.16953	0.98168	0.00441	0.00176	0.01897	0.00563	0.00199	0.98103	0.00563	0.00199	0.02714	0.00765	0.00231	0.97286	0.00765	0.00231	0.02917	0.00946	0.00257	0.03312	0.03138	0.16953
47TX	15	20.18417	45.62758	0.17875	0.97058	0.00604	0.00206	0.02259	0.00689	0.00220	0.97741	0.00689	0.00220	0.04504	0.01061	0.00273	0.95496	0.01061	0.00273	0.04723	0.01200	0.00290	0.14046	0.11900	0.17875
48TX	15	22.49371	44.28093	0.17597	0.97222	0.00613	0.00207	0.02537	0.00724	0.00225	0.97463	0.00724	0.00225	0.04177	0.01039	0.00270	0.95823	0.01039	0.00270	0.04352	0.01148	0.00283	0.08062	0.07184	0.17597
49TX	9	21.32300	39.43672	0.16862	0.98158	0.00511	0.00192	0.01962	0.00745	0.00232	0.98038	0.00745	0.00232	0.02595	0.00794	0.00239	0.97405	0.00794	0.00239	0.02734	0.00904	0.00255	0.02847	0.03251	0.16862
4CO	11	9.32715	5.43391	0.06483	0.98930	0.00241	0.00137	0.01169	0.00312	0.00155	0.98831	0.00312	0.00155	0.01635	0.00462	0.00189	0.98365	0.00462	0.00189	0.01749	0.00533	0.00203	0.01971	0.01811	0.06483
50TX	3	7.89053	4.70748	0.05901	0.98332	0.00447	0.00182	0.01819	0.00802	0.00244	0.98181	0.00802	0.00244	0.02388	0.00763	0.00238	0.97612	0.00763	0.00238	0.02625	0.00943	0.00264	0.02468	0.03022	0.05901
51TX	3	11.82746	10.08703	0.08606	0.98318	0.00433	0.00178	0.02066	0.00781	0.00239	0.97934	0.00781	0.00239	0.02441	0.00737	0.00233	0.97559	0.00737	0.00233	0.02622	0.00867	0.00252	0.01757	0.02227	0.08606
52TX	8	15.79584	24.55190	0.13501	0.98590	0.00375	0.00167	0.01741	0.00697	0.00227	0.98259	0.00697	0.00227	0.02031	0.00620	0.00215	0.97969	0.00620	0.00215	0.02135	0.00689	0.00226	0.01675	0.02150	0.13501
5CO	2	8.33082	4.55035	0.05856	0.98753	0.00327	0.00157	0.01533	0.00607	0.00214	0.98467	0.00607	0.00214	0.01809	0.00549	0.00203	0.98191	0.00549	0.00203	0.02031	0.00763	0.00240	0.01475	0.01587	0.05856
6KS	3	6.21803	3.23914	0.04758	0.89980	0.02068	0.00380	0.02016	0.00547	0.00196	0.97984	0.00547	0.00196	0.13898	0.03453	0.00491	0.86102	0.03453	0.00491	0.15262	0.04220	0.00543	0.31749	0.21130	0.04758
8OK	1	8.35662	8.85949	0.08071	0.97902	0.00495	0.00191	0.01960	0.00638	0.00217	0.98040	0.00638	0.00217	0.03117	0.00925	0.00261	0.96883	0.00925	0.00261	0.03435	0.01161	0.00292	0.03803	0.03731	0.08071
CARINA_LAB	6	10.57567	15.34022	0.10668	0.98232	0.00465	0.00186	0.01863	0.00696	0.00227	0.98137	0.00696	0.00227	0.02545	0.00788	0.00242	0.97455	0.00788	0.00242	0.02851	0.01050	0.00279	0.02727	0.02854	0.10668
SUB_LAB	3	6.11961	4.15235	0.05607	0.98852	0.00374	0.00168	0.01616	0.00922	0.00264	0.98384	0.00922	0.00264	0.01524	0.00555	0.00205	0.98476	0.00555	0.00205	0.01773	0.00790	0.00245	0.00366	0.01051	0.05607
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
11CO	5	2158566	1312	137	0.00635	13.28904	8.35860	0.00197	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00197
12AZ	8	2194604	1320	131	0.00597	13.89635	7.60610	0.00186	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00186
15TX	4	1839680	1424	426	0.02316	12.41814	38.65784	0.00458	0.99996	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00012	0.00010	0.00458
16TX	6	2205106	1401	410	0.01859	8.92732	48.08375	0.00467	0.99997	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.00012	0.00012	0.00467
18TX	7	2220396	1433	615	0.02770	13.39330	32.41190	0.00382	0.99994	0.00002	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	0.00021	0.00021	0.00382
19TX	4	2220301	1422	287	0.01293	11.65672	12.42070	0.00237	0.99998	0.00001	0.00000	0.00002	0.00000	0.00000	0.99998	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.00005	0.00005	0.00237
1WY	8	2216995	1406	354	0.01597	15.51997	17.53208	0.00281	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.00012	0.00012	0.00281
20NM	5	2220246	1407	304	0.01369	17.62029	1.88049	0.00092	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00005	0.00005	0.00092
21NM	2	2220272	1424	307	0.01383	13.56455	1.36308	0.00078	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00004	0.00005	0.00078
26NM	5	2220284	1419	380	0.01711	16.63491	3.04401	0.00117	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.00006	0.00006	0.00117
27NM	3	2220266	1419	326	0.01468	15.54946	1.50340	0.00082	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00004	0.00004	0.00082
28NM	8	2220409	1433	675	0.03040	23.48264	9.35832	0.00205	0.99993	0.00002	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00010	0.00004	0.00000	0.99990	0.00004	0.00000	0.00010	0.00004	0.00000	0.00020	0.00018	0.00205
2CO	17	2213637	1340	135	0.00610	17.66183	14.12803	0.00253	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00253
31NV	3	2210661	1305	90	0.00407	6.70845	0.74324	0.00058	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00058
32UT	11	2220389	1428	477	0.02148	18.72499	5.91071	0.00163	0.99998	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00015	0.00015	0.00163
33NV	3	2219599	1269	98	0.00442	8.48603	1.58430	0.00084	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00084
34UT	10	2220235	1287	141	0.00635	15.09497	5.10108	0.00152	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00152
37CR	1	2220307	1390	450	0.02027	4.94407	4.51582	0.00143	0.99994	0.00002	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00008	0.00004	0.00000	0.99992	0.00004	0.00000	0.00009	0.00004	0.00000	0.00016	0.00017	0.00143
38CR	14	1868933	1188	92	0.00492	8.73978	18.18531	0.00312	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00001	0.00312
39CR	3	2219977	1180	95	0.00428	8.37859	15.51637	0.00264	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.00000	0.00001	0.00264
40CR	0	1501247	968	36	0.00240	2.57152	0.51706	0.00059	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00001	0.00000	0.00000	0.00001	0.00059
41CR	7	2220275	1374	474	0.02135	10.32066	31.86553	0.00379	0.99997	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00005	0.00001	0.00000	0.99995	0.00001	0.00000	0.00005	0.00002	0.00000	0.00016	0.00016	0.00379
42CR	1	1648555	1125	83	0.00503	3.87673	2.15352	0.00114	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00001	0.00114
43GR	9	2220110	1312	277	0.01248	10.33260	31.93094	0.00379	0.99998	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00007	0.00007	0.00379
44GR	13	2220311	1399	521	0.02347	12.27974	12.02264	0.00233	0.99996	0.00001	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00007	0.00002	0.00000	0.00018	0.00018	0.00233
45UZ	1	1507838	645	7	0.00046	1.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
46CH	36	2220400	1429	233	0.01049	22.99652	8.27855	0.00193	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00193
47TX	15	2220346	1428	404	0.01820	20.97168	28.61469	0.00359	0.99998	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00009	0.00009	0.00359
48TX	15	2220358	1430	384	0.01729	24.57047	8.42259	0.00195	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00005	0.00005	0.00195
49TX	9	2220230	1387	197	0.00887	18.78140	62.74997	0.00532	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00002	0.00532
4CO	11	2218506	1293	94	0.00424	10.44273	1.23595	0.00075	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00075
50TX	3	1552492	1352	119	0.00767	8.27904	10.83888	0.00264	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00002	0.00003	0.00264
51TX	3	1632848	1362	146	0.00894	10.95479	26.23081	0.00401	0.99999	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00002	0.00401
52TX	8	2200224	1347	127	0.00577	13.44486	72.52590	0.00574	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00574
5CO	2	2219073	1327	98	0.00442	9.67447	0.60185	0.00052	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00052
6KS	3	2209084	1431	557	0.02521	5.80941	6.42825	0.00171	0.99994	0.00002	0.00000	0.00001	0.00000	0.00000	0.99999	0.00000	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00010	0.00004	0.00000	0.00021	0.00020	0.00171
8OK	1	1809908	1360	161	0.00890	7.99966	17.05579	0.00307	0.99998	0.00000	0.00000	0.00001	0.00001	0.00000	0.99999	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.00003	0.00003	0.00307
