id	longitude	latitude	region
E69	-104.16	37.34	REGION_2
E70	-104.16	37.34	REGION_2
E82	-104.16	37.34	REGION_2
E84	-104.16	37.34	REGION_2
E92	-104.16	37.34	REGION_2
E94	-104.16	37.34	REGION_2
F10	-104.16	37.34	REGION_2
F19	-104.16	37.34	REGION_2
F20	-104.16	37.34	REGION_2
F21	-104.16	37.34	REGION_2
F22	-104.16	37.34	REGION_2
F9	-104.16	37.34	REGION_2
E59	-114.64	35.12	REGION_2
E60	-114.64	35.12	REGION_2
E65	-114.64	35.12	REGION_2
E67	-114.64	35.12	REGION_2
E68	-114.64	35.12	REGION_2
E77	-114.64	35.12	REGION_2
E78	-114.64	35.12	REGION_2
F15	-114.64	35.12	REGION_2
F16	-114.64	35.12	REGION_2
F17	-114.64	35.12	REGION_2
F18	-114.64	35.12	REGION_2
F23	-114.64	35.12	REGION_2
F24	-114.64	35.12	REGION_2
F4	-114.64	35.12	REGION_2
F5	-114.64	35.12	REGION_2
E29	NA	NA	NA
E30	NA	NA	NA
F85	NA	NA	NA
F86	NA	NA	NA
F87	NA	NA	NA
F88	NA	NA	NA
G2	NA	NA	NA
G43	NA	NA	NA
G44	NA	NA	NA
G45	NA	NA	NA
G46	NA	NA	NA
G85	NA	NA	NA
G86	NA	NA	NA
G87	NA	NA	NA
G88	NA	NA	NA
F54	NA	NA	NA
F65	NA	NA	NA
F66	NA	NA	NA
G13	NA	NA	NA
G14	NA	NA	NA
G15	NA	NA	NA
G16	NA	NA	NA
G3	NA	NA	NA
G4	NA	NA	NA
G57	NA	NA	NA
G58	NA	NA	NA
G59	NA	NA	NA
G60	NA	NA	NA
G73	NA	NA	NA
G74	NA	NA	NA
G76	NA	NA	NA
G77	NA	NA	NA
G78	NA	NA	NA
G53	NA	NA	NA
G54	NA	NA	NA
G55	NA	NA	NA
G56	NA	NA	NA
G65	NA	NA	NA
G66	NA	NA	NA
G67	NA	NA	NA
G68	NA	NA	NA
G71	NA	NA	NA
G72	NA	NA	NA
G94	NA	NA	NA
H41	NA	NA	NA
H42	NA	NA	NA
H63	NA	NA	NA
H64	NA	NA	NA
H1	NA	NA	NA
H2	NA	NA	NA
H3	NA	NA	NA
H33	NA	NA	NA
H34	NA	NA	NA
H35	NA	NA	NA
H36	NA	NA	NA
H47	NA	NA	NA
H48	NA	NA	NA
H49	NA	NA	NA
H50	NA	NA	NA
H55	NA	NA	NA
H56	NA	NA	NA
H57	NA	NA	NA
H58	NA	NA	NA
E1	-108.18	44.86	REGION_1
E13	-108.18	44.86	REGION_1
E25	-108.18	44.86	REGION_1
E26	-108.18	44.86	REGION_1
E27	-108.18	44.86	REGION_1
E28	-108.18	44.86	REGION_1
E3	-108.18	44.86	REGION_1
E35	-108.18	44.86	REGION_1
E36	-108.18	44.86	REGION_1
E37	-108.18	44.86	REGION_1
E38	-108.18	44.86	REGION_1
E4	-108.18	44.86	REGION_1
