id,longitude,latitude,pop,region
F22,-104.16,37.34,11CO,1
F21,-104.16,37.34,11CO,1
E69,-104.16,37.34,11CO,1
F19,-104.16,37.34,11CO,1
F20,-104.16,37.34,11CO,1
E84,-104.16,37.34,11CO,1
F9,-104.16,37.34,11CO,1
E70,-104.16,37.34,11CO,1
E82,-104.16,37.34,11CO,1
F10,-104.16,37.34,11CO,1
E94,-104.16,37.34,11CO,1
E92,-104.16,37.34,11CO,1
E60,-114.64,35.12,12AZ,2
E65,-114.64,35.12,12AZ,2
E67,-114.64,35.12,12AZ,2
E59,-114.64,35.12,12AZ,2
F17,-114.64,35.12,12AZ,2
F18,-114.64,35.12,12AZ,2
F23,-114.64,35.12,12AZ,2
F24,-114.64,35.12,12AZ,2
F4,-114.64,35.12,12AZ,2
F5,-114.64,35.12,12AZ,2
E78,-114.64,35.12,12AZ,2
F15,-114.64,35.12,12AZ,2
E68,-114.64,35.12,12AZ,2
E77,-114.64,35.12,12AZ,2
F16,-114.64,35.12,12AZ,2
H65,-103.48,31.49,18TX,1
H66,-103.48,31.49,18TX,1
E38,-108.18,44.86,1WY,1
E4,-108.18,44.86,1WY,1
E47,-108.18,44.86,1WY,1
E48,-108.18,44.86,1WY,1
E49,-108.18,44.86,1WY,1
E50,-108.18,44.86,1WY,1
E25,-108.18,44.86,1WY,1
E26,-108.18,44.86,1WY,1
E27,-108.18,44.86,1WY,1
E28,-108.18,44.86,1WY,1
E3,-108.18,44.86,1WY,1
E35,-108.18,44.86,1WY,1
E36,-108.18,44.86,1WY,1
E37,-108.18,44.86,1WY,1
E15,-108.18,44.86,1WY,1
E1,-108.18,44.86,1WY,1
E13,-108.18,44.86,1WY,1
H8,-103.69,35.19,28NM,1
G18,-103.69,35.19,28NM,1
G7,-103.69,35.19,28NM,1
G8,-103.69,35.19,28NM,1
F91,-103.69,35.19,28NM,1
G17,-103.69,35.19,28NM,1
H30,-104.61,38.34,2CO,1
H31,-104.61,38.34,2CO,1
H32,-104.61,38.34,2CO,1
H29,-104.61,38.34,2CO,1
H43,-104.61,38.34,2CO,1
G89,-104.61,38.34,2CO,1
G90,-104.61,38.34,2CO,1
H4,-104.61,38.34,2CO,1
H13,-104.61,38.34,2CO,1
H14,-104.61,38.34,2CO,1
H15,-104.61,38.34,2CO,1
H16,-104.61,38.34,2CO,1
H7,-104.61,38.34,2CO,1
H46,-104.61,38.34,2CO,1
H44,-104.61,38.34,2CO,1
H45,-104.61,38.34,2CO,1
G92,-104.61,38.34,2CO,1
H5,-104.61,38.34,2CO,1
H6,-104.61,38.34,2CO,1
F12,-114.26,36.69,31NV,2
F13,-114.26,36.69,31NV,2
F14,-114.26,36.69,31NV,2
F1,-114.26,36.69,31NV,2
F11,-114.26,36.69,31NV,2
E95,-114.26,36.69,31NV,2
F2,-114.26,36.69,31NV,2
E34,-113.58,37.07,32UT,2
E43,-113.58,37.07,32UT,2
E46,-113.58,37.07,32UT,2
E55,-113.58,37.07,32UT,2
E45,-113.58,37.07,32UT,2
E33,-113.58,37.07,32UT,2
E10,-113.58,37.07,32UT,2
E44,-113.58,37.07,32UT,2
E32,-113.58,37.07,32UT,2
E57,-113.58,37.07,32UT,2
E58,-113.58,37.07,32UT,2
E11,-113.58,37.07,32UT,2
E56,-113.58,37.07,32UT,2
E31,-113.58,37.07,32UT,2
E21,-113.58,37.07,32UT,2
E22,-113.58,37.07,32UT,2
E9,-113.58,37.07,32UT,2
E12,-113.58,37.07,32UT,2
