id,longitude,latitude,pop,region
E78,-114.64,35.12,12AZ,1
E59,-114.64,35.12,12AZ,1
E68,-114.64,35.12,12AZ,1
E65,-114.64,35.12,12AZ,1
E67,-114.64,35.12,12AZ,1
E77,-114.64,35.12,12AZ,1
E60,-114.64,35.12,12AZ,1
F16,-114.64,35.12,12AZ,1
F17,-114.64,35.12,12AZ,1
F18,-114.64,35.12,12AZ,1
F15,-114.64,35.12,12AZ,1
F23,-114.64,35.12,12AZ,1
F24,-114.64,35.12,12AZ,1
F4,-114.64,35.12,12AZ,1
F5,-114.64,35.12,12AZ,1
F2,-114.26,36.69,31NV,1
E95,-114.26,36.69,31NV,1
F1,-114.26,36.69,31NV,1
F12,-114.26,36.69,31NV,1
F13,-114.26,36.69,31NV,1
F14,-114.26,36.69,31NV,1
F11,-114.26,36.69,31NV,1
E22,-113.58,37.07,32UT,1
E23,-113.58,37.07,32UT,1
E11,-113.58,37.07,32UT,1
E43,-113.58,37.07,32UT,1
E21,-113.58,37.07,32UT,1
E10,-113.58,37.07,32UT,1
E46,-113.58,37.07,32UT,1
E24,-113.58,37.07,32UT,1
E31,-113.58,37.07,32UT,1
E45,-113.58,37.07,32UT,1
E33,-113.58,37.07,32UT,1
E34,-113.58,37.07,32UT,1
E12,-113.58,37.07,32UT,1
E56,-113.58,37.07,32UT,1
E57,-113.58,37.07,32UT,1
E58,-113.58,37.07,32UT,1
E44,-113.58,37.07,32UT,1
E32,-113.58,37.07,32UT,1
E9,-113.58,37.07,32UT,1
E55,-113.58,37.07,32UT,1
E62,-114.4,36.38,33NV,1
E86,-114.4,36.38,33NV,1
E63,-114.4,36.38,33NV,1
E61,-114.4,36.38,33NV,1
E85,-114.4,36.38,33NV,1
E76,-114.4,36.38,33NV,1
E64,-114.4,36.38,33NV,1
E75,-114.4,36.38,33NV,1
E87,-114.4,36.38,33NV,1
E53,-112.93,39.23,34UT,1
E54,-112.93,39.23,34UT,1
E39,-112.93,39.23,34UT,1
E17,-112.93,39.23,34UT,1
E18,-112.93,39.23,34UT,1
E19,-112.93,39.23,34UT,1
E20,-112.93,39.23,34UT,1
E8,-112.93,39.23,34UT,1
E52,-112.93,39.23,34UT,1
E41,-112.93,39.23,34UT,1
E5,-112.93,39.23,34UT,1
E51,-112.93,39.23,34UT,1
E40,-112.93,39.23,34UT,1
E90,-112.93,39.23,34UT,1
E42,-112.93,39.23,34UT,1
E7,-112.93,39.23,34UT,1
