,sampID,elongata_L,elongata_H,sublineata_L,sublineata_H,carinulata_L,carinulata_H,carinata_L,carinata_H,elongata,sublineata,carinulata,carinata,popID
1,D1,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
2,D12,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
3,D13,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
4,D15_rep,0.953,0.985,0,0.002,0.015,0.046,0,0.001,0.97,0,0.03,0,41CR
5,D16,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
6,D17,0.989,1,0,0.005,0,0.001,0,0.005,0.998,0.001,0,0.001,43GR
7,D18,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
8,D19,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
9,D2,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
10,D20,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
11,D21,0.997,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
12,D22,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
13,D23,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
14,D24_rep,0.91,0.951,0,0.001,0.049,0.089,0,0.001,0.931,0,0.068,0,44GR
15,D27,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
16,D3,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
17,D33,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
18,D34,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
19,D35,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
20,D37,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
21,D38,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
22,D39,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
23,D4,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
24,D40,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
25,D41,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
26,D42,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
27,D43,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
28,D44,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
29,D46,0.997,1,0,0.001,0,0.001,0,0.001,1,0,0,0,37CR
30,D47,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,37CR
31,D48,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,37CR
32,D49,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
33,D5,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
34,D50,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
35,D51,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
36,D52,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
37,D53,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
38,D54,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
39,D55,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
40,D56,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
41,D57,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
42,D58,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
43,D59,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
44,D6,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
45,D60,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
46,D61,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
47,D62,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
48,D63,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
49,D64,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
50,D65_rep,0.97,1,0,0.012,0,0.029,0,0.001,0.989,0.002,0.01,0,44GR
51,D7,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
52,D71_rep,0.988,1,0,0.001,0,0.012,0,0.001,0.998,0,0.002,0,37CR
53,D72,0.997,1,0,0.001,0,0.001,0,0.001,1,0,0,0,37CR
54,D73,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
55,D75,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
56,D76,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,38CR
57,D77,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
58,D78,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
59,D79,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
60,D8,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
61,D80,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,39CR
62,D81,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
63,D82,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
64,D83,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
65,D84,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,41CR
66,D85,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
67,D86,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
68,D87,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
69,D88,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,43GR
70,D89,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
71,D90,0.997,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
72,D91,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
73,D92,0.997,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
74,D93,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
75,D94,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,44GR
76,E1,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
77,E10,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
78,E11,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
79,E12,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
80,E13,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
81,E15_rep,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
82,E17,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
83,E18,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
84,E19,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
85,E20,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
86,E21,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
87,E22,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
88,E23,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
89,E24_rep,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
90,E25,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
91,E26,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
92,E27,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
93,E28,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
94,E29,0.221,0.305,0,0.002,0,0.001,0.694,0.779,0.262,0,0,0.737,15TX
95,E3,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
96,E30,0,0.001,0,0.002,0,0.001,0.995,1,0,0,0,0.999,15TX
97,E31,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
98,E32,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
99,E33,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
100,E34,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
101,E35,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
102,E36,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
103,E37,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
104,E38,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
105,E39,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
106,E4,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
107,E40,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
108,E41,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
109,E42,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
110,E43,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
111,E44,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
112,E45,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
113,E46,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
114,E47,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
115,E48,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
116,E49,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
117,E5,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
118,E50,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,1WY
119,E51,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
120,E52,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
121,E53,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
122,E54,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
123,E55,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
124,E56,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
125,E57,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
126,E58,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
127,E59,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
128,E60,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
129,E61,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
130,E62,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
131,E63,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
132,E64,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
133,E65,0,0.001,0,0.002,0.996,1,0,0.001,0,0,0.999,0,12AZ
134,E67,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
135,E68,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
136,E69,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
137,E7,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
138,E70,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
139,E75,0,0.001,0,0.001,0.998,1,0,0.001,0,0,1,0,33NV
140,E76,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
141,E77,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
142,E78,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
143,E8,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,34UT
144,E82,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
145,E84,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
146,E85,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
147,E86,0,0.001,0,0.001,0.998,1,0,0.001,0,0,1,0,33NV
148,E87,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
149,E9,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
150,E90,0,0.001,0,0.001,0.998,1,0,0.001,0,0,1,0,34UT
151,E92,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
152,E94,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
153,E95,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,31NV
