# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
1WY	41	14.83298	8.82362	0.06108	0.96740	0.00849	0.00189	0.04059	0.01317	0.00236	0.95941	0.01317	0.00236	0.04611	0.01394	0.00243	0.95389	0.01394	0.00243	0.04790	0.01503	0.00252	0.02414	0.02523	0.06108
32UT	75	17.50317	13.23487	0.07481	0.96121	0.00855	0.00190	0.04898	0.01224	0.00227	0.95102	0.01224	0.00227	0.05747	0.01471	0.00249	0.94253	0.01471	0.00249	0.05933	0.01568	0.00258	0.03492	0.03146	0.07481
34UT	55	13.58985	9.80971	0.06440	0.96110	0.00885	0.00193	0.04889	0.01384	0.00242	0.95111	0.01384	0.00242	0.05708	0.01507	0.00252	0.94292	0.01507	0.00252	0.05952	0.01644	0.00264	0.03485	0.03567	0.06440
12AZ	65	12.58013	7.64047	0.05684	0.96198	0.00863	0.00191	0.04835	0.01369	0.00241	0.95165	0.01369	0.00241	0.05591	0.01467	0.00249	0.94409	0.01467	0.00249	0.05852	0.01611	0.00261	0.03474	0.03620	0.05684
33NV	22	6.98473	5.47854	0.04821	0.96601	0.00861	0.00191	0.04130	0.01452	0.00248	0.95870	0.01452	0.00248	0.04846	0.01442	0.00247	0.95154	0.01442	0.00247	0.05339	0.01801	0.00276	0.02853	0.03260	0.04821
11CO	35	9.14799	8.16252	0.05875	0.96455	0.00850	0.00190	0.04299	0.01353	0.00239	0.95701	0.01353	0.00239	0.05140	0.01442	0.00247	0.94860	0.01442	0.00247	0.05520	0.01686	0.00267	0.03375	0.03625	0.05875
31NV	29	6.00846	1.60061	0.02602	0.96324	0.00879	0.00193	0.04813	0.01602	0.00260	0.95187	0.01602	0.00260	0.05324	0.01516	0.00253	0.94676	0.01516	0.00253	0.05870	0.01857	0.00280	0.02590	0.03076	0.02602
5CO	46	16.46850	8.15182	0.05871	0.96548	0.00795	0.00183	0.04273	0.01149	0.00220	0.95727	0.01149	0.00220	0.05076	0.01367	0.00240	0.94924	0.01367	0.00240	0.05252	0.01464	0.00249	0.03570	0.03155	0.05871
28NM	114	8.10359	1.46261	0.02487	0.95412	0.00917	0.00197	0.05734	0.01432	0.00246	0.94266	0.01432	0.00246	0.06923	0.01594	0.00260	0.93077	0.01594	0.00260	0.07443	0.01874	0.00281	0.05077	0.04879	0.02487
6KS	200	1.47082	0.24926	0.01042	0.87239	0.04476	0.00442	0.06010	0.04541	0.00445	0.93990	0.04541	0.00445	0.13317	0.04679	0.00451	0.86683	0.04679	0.00451	0.18961	0.09884	0.00656	0.19425	0.15789	0.01042
2CO	77	17.04947	7.62995	0.05680	0.96480	0.00881	0.00193	0.04034	0.01157	0.00221	0.95966	0.01157	0.00221	0.05032	0.01444	0.00247	0.94968	0.01444	0.00247	0.05195	0.01539	0.00255	0.04205	0.03560	0.05680
4CO	52	8.86464	5.14968	0.04667	0.96842	0.00785	0.00182	0.03713	0.01181	0.00223	0.96287	0.01181	0.00223	0.04548	0.01339	0.00238	0.95452	0.01339	0.00238	0.04865	0.01538	0.00255	0.03254	0.03187	0.04667
18TX	11	1.91909	0.07439	0.00564	0.96961	0.01053	0.00212	0.04966	0.03222	0.00371	0.95034	0.03222	0.00371	0.03789	0.01470	0.00251	0.96211	0.01470	0.00251	0.05294	0.02993	0.00358	0.00492	0.01422	0.00564
46CH	266	22.57995	7.29153	0.05554	0.96480	0.00742	0.00177	0.04633	0.01202	0.00226	0.95367	0.01202	0.00226	0.05308	0.01296	0.00234	0.94692	0.01296	0.00234	0.05442	0.01363	0.00240	0.04268	0.03799	0.05554
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
1WY	41	2241420	2365	441	0.01968	15.74293	15.64919	0.00264	0.99997	0.00001	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00005	0.00002	0.00000	0.00003	0.00003	0.00264
32UT	75	2243620	2365	679	0.03026	19.36053	3.53288	0.00125	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00004	0.00003	0.00125
34UT	55	2243188	2365	616	0.02746	15.45154	2.61971	0.00108	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00004	0.00004	0.00108
12AZ	65	2204099	2365	602	0.02731	14.19179	4.42566	0.00142	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00004	0.00004	0.00142
33NV	22	2243066	2357	414	0.01846	8.45609	1.74194	0.00088	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.00003	0.00004	0.00088
11CO	35	2226361	2365	498	0.02237	11.17457	4.08129	0.00135	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.00004	0.00004	0.00135
31NV	29	2243314	2365	456	0.02033	6.66832	0.83584	0.00061	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00003	0.00003	0.00061
5CO	46	2243660	2365	583	0.02598	18.48229	2.59028	0.00107	0.99996	0.00001	0.00000	0.00005	0.00001	0.00000	0.99995	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.00004	0.00003	0.00107
28NM	114	2245150	2365	748	0.03332	8.63294	1.06452	0.00069	0.99995	0.00001	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00008	0.00003	0.00000	0.00005	0.00005	0.00069
6KS	200	2230695	2296	637	0.02856	1.77823	0.17259	0.00028	0.99987	0.00006	0.00001	0.00006	0.00005	0.00000	0.99994	0.00005	0.00000	0.00014	0.00007	0.00001	0.99986	0.00007	0.00001	0.00020	0.00014	0.00001	0.00020	0.00020	0.00028
2CO	77	2243658	2365	544	0.02425	18.18012	5.22279	0.00153	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00005	0.00002	0.00000	0.00004	0.00004	0.00153
4CO	52	2243261	2364	413	0.01841	10.40043	3.27163	0.00121	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00005	0.00002	0.00000	0.00003	0.00003	0.00121
18TX	11	2182791	2336	212	0.00971	1.95208	0.04562	0.00014	0.99997	0.00001	0.00000	0.00005	0.00004	0.00000	0.99995	0.00004	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00006	0.00004	0.00000	0.00001	0.00002	0.00014
46CH	266	2244652	2364	771	0.03435	23.09733	6.78127	0.00174	0.99996	0.00001	0.00000	0.00005	0.00001	0.00000	0.99995	0.00001	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00004	0.00004	0.00174
