# Phi_st Means
	15TX	16TX	21NM	37CR	38CR	39CR	41CR	43GR	44GR
15TX		0.429656	0.138497	0.328227	0.43475	0.441841	0.394479	0.43326	0.355816
16TX			0.553213	0.0588913	0.0256974	0.019233	0.0496834	0.236316	0.188661
21NM				0.524861	0.64618	0.643883	0.519775	0.554986	0.417657
37CR					0.0585135	0.0716876	0.0713457	0.248002	0.176922
38CR						0.0326865	0.0521418	0.26173	0.191135
39CR							0.0536481	0.274051	0.202229
41CR								0.216435	0.168666
43GR									0.0532537

# Fst' Means
	15TX	16TX	21NM	37CR	38CR	39CR	41CR	43GR	44GR
15TX		0.257402	0.130246	0.251093	0.28936	0.281559	0.247283	0.275007	0.235479
16TX			0.47857	0.0247055	0.0167082	0.0113622	0.0251761	0.187224	0.138099
21NM				0.472626	0.540215	0.536176	0.453956	0.481865	0.395269
37CR					0.0287755	0.0342866	0.0396837	0.188852	0.142291
38CR						0.0201648	0.0320519	0.218532	0.152855
39CR							0.0325179	0.224478	0.158372
41CR								0.167998	0.121833
43GR									0.0305633

# Dxy Means
	15TX	16TX	21NM	37CR	38CR	39CR	41CR	43GR	44GR
15TX		0.000657136	0.000678425	0.000674249	0.000699055	0.000678088	0.000680887	0.000678951	0.000671403
16TX			0.000774304	0.00048944	0.000528431	0.000493512	0.000523167	0.000607101	0.000582582
21NM				0.000780536	0.000833766	0.000819212	0.000780029	0.000777014	0.00073952
37CR					0.000526313	0.000496579	0.000518145	0.000594903	0.000572486
38CR						0.000528114	0.000540447	0.000642362	0.000584961
39CR							0.000522864	0.000628194	0.000589527
41CR								0.000594553	0.000560564
43GR									0.00047127
