# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
38CR	24	8.50079	6.46181	0.07167	0.96776	0.00834	0.00257	0.03821	0.01466	0.00341	0.96179	0.01466	0.00341	0.04574	0.01399	0.00333	0.95426	0.01399	0.00333	0.04927	0.01629	0.00360	0.03027	0.03710	0.07167
41CR	49	12.17077	12.14013	0.09820	0.95955	0.00901	0.00268	0.04861	0.01396	0.00333	0.95139	0.01396	0.00333	0.05963	0.01548	0.00351	0.94037	0.01548	0.00351	0.06284	0.01725	0.00370	0.04430	0.04695	0.09820
43GR	42	12.65056	8.75612	0.08396	0.95031	0.01275	0.00320	0.05663	0.01907	0.00392	0.94337	0.01907	0.00392	0.06895	0.02027	0.00404	0.93105	0.02027	0.00404	0.07265	0.02283	0.00429	0.04543	0.04791	0.08396
44GR	102	12.38523	12.01603	0.09769	0.94041	0.01288	0.00320	0.05577	0.01390	0.00332	0.94423	0.01390	0.00332	0.08634	0.02070	0.00406	0.91366	0.02070	0.00406	0.09185	0.02397	0.00436	0.11367	0.09536	0.09769
37CR	17	4.19586	0.96400	0.02770	0.96534	0.00988	0.00280	0.04793	0.02242	0.00422	0.95207	0.02242	0.00422	0.04718	0.01540	0.00350	0.95282	0.01540	0.00350	0.05616	0.02284	0.00426	0.01702	0.02510	0.02770
39CR	20	9.95382	5.19787	0.06433	0.96765	0.00829	0.00257	0.03790	0.01324	0.00325	0.96210	0.01324	0.00325	0.04604	0.01377	0.00331	0.95396	0.01377	0.00331	0.04909	0.01573	0.00354	0.03162	0.03535	0.06433
15TX	88	3.14585	0.95855	0.02779	0.86093	0.03206	0.00508	0.10408	0.04236	0.00584	0.89592	0.04236	0.00584	0.17540	0.04426	0.00597	0.82460	0.04426	0.00597	0.21209	0.06719	0.00736	0.20605	0.16277	0.02779
16TX	29	14.07625	7.60944	0.07774	0.96369	0.00859	0.00261	0.04499	0.01568	0.00353	0.95501	0.01568	0.00353	0.05281	0.01427	0.00337	0.94719	0.01427	0.00337	0.05514	0.01560	0.00352	0.04347	0.04936	0.07774
26NM	17	1.00000	0.00000	0.00000	0.96684	0.01550	0.00401	0.06632	0.06199	0.00801	0.93368	0.06199	0.00801	0.03316	0.01550	0.00401	0.96684	0.01550	0.00401	0.06632	0.06199	0.00801	0.00000	0.00000	0.00000
20NM	15	1.00000	0.00000	0.00000	0.95031	0.02240	0.00484	0.09937	0.08959	0.00968	0.90063	0.08959	0.00968	0.04969	0.02240	0.00484	0.95031	0.02240	0.00484	0.09937	0.08959	0.00968	0.00000	0.00000	0.00000
21NM	21	1.00000	0.00000	0.00000	0.92644	0.03140	0.00579	0.14712	0.12561	0.01157	0.85288	0.12561	0.01157	0.07356	0.03140	0.00579	0.92644	0.03140	0.00579	0.14712	0.12561	0.01157	0.00000	0.00000	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
38CR	24	1473586	1258	208	0.01412	10.09537	2.54067	0.00131	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	0.00003	0.00003	0.00131
41CR	49	1474614	1259	332	0.02251	14.18534	7.53373	0.00226	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00005	0.00002	0.00000	0.00004	0.00004	0.00226
43GR	42	1473852	1242	312	0.02117	13.72727	4.94866	0.00183	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	0.00004	0.00004	0.00183
44GR	102	1476328	1259	479	0.03245	14.86893	5.43263	0.00192	0.99995	0.00001	0.00000	0.00005	0.00001	0.00000	0.99995	0.00001	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00008	0.00003	0.00000	0.00010	0.00009	0.00192
37CR	17	1472429	1256	179	0.01216	4.75259	0.41754	0.00053	0.99997	0.00001	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00005	0.00002	0.00000	0.00001	0.00002	0.00053
39CR	20	1473353	1256	217	0.01473	10.78327	3.58253	0.00156	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	0.00003	0.00003	0.00156
15TX	88	1459236	1241	532	0.03646	3.57535	0.58702	0.00063	0.99988	0.00004	0.00001	0.00009	0.00005	0.00001	0.99991	0.00005	0.00001	0.00015	0.00006	0.00001	0.99985	0.00006	0.00001	0.00018	0.00010	0.00001	0.00018	0.00017	0.00063
16TX	29	1450877	1259	305	0.02102	13.92202	28.29312	0.00442	0.99997	0.00001	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00005	0.00001	0.00000	0.99995	0.00001	0.00000	0.00005	0.00002	0.00000	0.00004	0.00004	0.00442
26NM	17	1382426	965	64	0.00463	1.00000	0.00000	0.00000	0.99998	0.00001	0.00000	0.00005	0.00005	0.00001	0.99995	0.00005	0.00001	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00005	0.00005	0.00001	0.00000	0.00000	0.00000
20NM	15	1379503	956	95	0.00689	1.00000	0.00000	0.00000	0.99997	0.00002	0.00000	0.00007	0.00007	0.00001	0.99993	0.00007	0.00001	0.00003	0.00002	0.00000	0.99997	0.00002	0.00000	0.00007	0.00007	0.00001	0.00000	0.00000	0.00000
21NM	21	1390551	938	138	0.00992	1.00000	0.00000	0.00000	0.99995	0.00002	0.00000	0.00010	0.00010	0.00001	0.99990	0.00010	0.00001	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00010	0.00010	0.00001	0.00000	0.00000	0.00000
