	15TX	16TX	18TX	19TX	20NM	21NM	26NM	27NM	28NM	37CR	38CR	39CR	41CR	43GR	44GR	47TX	49TX	50TX	51TX	52TX	6KS	8OK	CARINA_LAB	SUB_LAB
15TX		0.359436	0.242187	0.0595285	0.237024	0.251955	0.202687	0.244689	0.0955432	0.412649	0.45109	0.45498	0.455776	0.420532	0.4379	0.256682	0.278521	0.271337	0.280349	0.289399	0.0536123	0.0516351	0.0881172	0.294459
16TX			0.452858	0.397218	0.448026	0.466539	0.414455	0.450964	0.388638	0.0855929	0.0949803	0.0594723	0.11309	0.144658	0.181708	0.456529	0.491893	0.507964	0.508086	0.521122	0.392752	0.44318	0.470712	0.522663
18TX				0.278765	0.0284114	0.0343011	0.0318524	0.0280398	0.158845	0.593528	0.601022	0.594014	0.551993	0.553637	0.527365	0.0413315	0.049759	0.0392972	0.0409594	0.0404379	0.262637	0.309534	0.370727	0.0604266
19TX					0.257344	0.266308	0.20834	0.253374	0.10499	0.510854	0.526256	0.527424	0.495872	0.495519	0.471479	0.284904	0.310911	0.319824	0.317691	0.330907	0.0488588	0.0449919	0.0964764	0.339681
20NM						0.029876	0.0238188	0.0251341	0.136424	0.560233	0.574677	0.577938	0.539301	0.533315	0.516404	0.0382624	0.0427174	0.0325422	0.0368173	0.0343579	0.234858	0.285785	0.328483	0.0498988
21NM							0.0341849	0.0234905	0.158768	0.589975	0.602997	0.59598	0.567645	0.550445	0.533399	0.0348638	0.0404635	0.0341862	0.0342826	0.0361992	0.254545	0.297463	0.33626	0.0545188
26NM								0.0297274	0.0988505	0.50896	0.530484	0.533585	0.498439	0.495295	0.4835	0.0474086	0.0525645	0.0375076	0.0440268	0.0450978	0.18436	0.241431	0.261715	0.0566502
27NM									0.148786	0.546233	0.568111	0.569201	0.536862	0.524112	0.514447	0.0282056	0.0324875	0.0229804	0.0238557	0.025836	0.235292	0.284944	0.310494	0.0426288
28NM										0.534407	0.545196	0.545365	0.507109	0.50243	0.480539	0.183957	0.20969	0.202267	0.21061	0.219364	0.0757178	0.121899	0.162191	0.23274
37CR											0.129761	0.107281	0.113672	0.261371	0.192922	0.580369	0.622396	0.697106	0.6786	0.680946	0.525169	0.553036	0.645249	0.688441
38CR												0.0856604	0.117467	0.250765	0.193333	0.59455	0.623473	0.691439	0.670996	0.678096	0.543257	0.571613	0.645327	0.690426
39CR													0.0842	0.262432	0.189787	0.583683	0.611346	0.678841	0.662528	0.666712	0.532978	0.564361	0.63497	0.678149
41CR														0.219194	0.186673	0.550968	0.585665	0.632066	0.62079	0.628634	0.508173	0.543643	0.60097	0.635683
43GR															0.0837621	0.548268	0.573767	0.628478	0.611952	0.619001	0.500814	0.533696	0.594121	0.638501
44GR																0.517218	0.551031	0.59201	0.580402	0.590377	0.482467	0.512514	0.55713	0.590455
47TX																	0.0195022	0.0248491	0.0229528	0.0285115	0.27493	0.306556	0.355308	0.0469917
49TX																		0.02673	0.0191349	0.029784	0.305262	0.341347	0.398867	0.0548619
50TX																			0.029993	0.0323817	0.313247	0.359674	0.456479	0.0704076
51TX																				0.0230797	0.315653	0.359871	0.43023	0.0592459
52TX																					0.327763	0.365713	0.444941	0.0569217
6KS																						0.0503899	0.100862	0.342696
8OK																							0.094185	0.374206
CARINA_LAB																								0.465745
