# Phi_st Means
	15TX	16TX	18TX	19TX	20NM	21NM	26NM	27NM	28NM	37CR	38CR	39CR	41CR	43GR	44GR	47TX	49TX	50TX	51TX	52TX	6KS	8OK	CARINA_LAB	SUB_LAB
15TX		0.435684	0.286582	0.0553255	0.290006	0.291086	0.252374	0.293049	0.11035	0.503047	0.5212	0.521051	0.522076	0.483949	0.498605	0.310961	0.34107	0.309453	0.324217	0.340852	0.0404025	0.0499554	0.0998373	0.339891
16TX			0.521855	0.45017	0.52651	0.539486	0.491877	0.531316	0.454463	0.0397442	0.0728407	0.0430348	0.0914605	0.15234	0.184342	0.519704	0.564487	0.572135	0.569459	0.591359	0.448011	0.506222	0.535578	0.588771
18TX				0.32527	0.00766661	0.0131899	0.0157207	0.0140324	0.203203	0.619316	0.626907	0.61882	0.579399	0.587476	0.563209	0.0437471	0.0582946	0.00967844	0.0271399	0.0352771	0.311701	0.360328	0.412939	0.0621757
19TX					0.311082	0.302151	0.256565	0.298789	0.117762	0.542401	0.557846	0.559728	0.539596	0.533728	0.518852	0.334166	0.373235	0.359192	0.359265	0.382509	0.0256877	0.0359426	0.0994491	0.383589
20NM						0.0108537	0.00701344	0.0118967	0.184022	0.609386	0.611861	0.614191	0.573243	0.572396	0.559187	0.0397786	0.0495252	0.00757982	0.0256552	0.0276831	0.290425	0.33742	0.372609	0.0493716
21NM							0.0210862	0.00619266	0.194849	0.642313	0.63874	0.632371	0.608027	0.588375	0.57349	0.0350763	0.0456245	0.0022608	0.0184574	0.0282101	0.291741	0.338435	0.366526	0.0522818
26NM								0.0219188	0.127873	0.573539	0.579616	0.577885	0.539902	0.543862	0.532284	0.0586625	0.0705371	0.0230921	0.0427486	0.0497219	0.231575	0.293048	0.30612	0.0644858
27NM									0.202624	0.614591	0.614444	0.611528	0.577339	0.566103	0.561828	0.0259025	0.0323108	-0.00434325	0.00865831	0.0149553	0.285692	0.326206	0.345432	0.0396821
28NM										0.55909	0.582579	0.587441	0.553821	0.55434	0.527701	0.262893	0.309952	0.242709	0.273356	0.305204	0.0592975	0.165055	0.20019	0.311325
37CR											0.0914809	0.0644549	0.0662268	0.296542	0.198242	0.625167	0.668709	0.714215	0.713694	0.717648	0.54549	0.601709	0.678163	0.717868
38CR												0.0538332	0.0909177	0.271178	0.205684	0.627276	0.657681	0.709497	0.69484	0.704476	0.569026	0.610964	0.670021	0.711748
39CR													0.0623968	0.288752	0.208847	0.615846	0.645515	0.698302	0.686858	0.692902	0.562755	0.602842	0.661699	0.700768
41CR														0.242005	0.196805	0.58836	0.626745	0.657031	0.648929	0.661626	0.548325	0.590611	0.634515	0.668312
43GR															0.0738293	0.580749	0.609069	0.657372	0.638858	0.647698	0.538626	0.572595	0.625759	0.665607
44GR																0.562513	0.598403	0.622083	0.616366	0.631396	0.523659	0.56024	0.59089	0.622547
47TX																	0.0118896	0.00587931	0.0113541	0.0201611	0.333878	0.347547	0.393633	0.0475899
49TX																		0.00886295	0.00471561	0.0212219	0.382839	0.390511	0.445116	0.0577842
50TX																			-0.00494685	0.00785678	0.35531	0.408514	0.490368	0.0639506
51TX																				0.00256266	0.367628	0.402332	0.464126	0.0525249
52TX																					0.392327	0.408443	0.484157	0.0534672
6KS																						0.0425992	0.107778	0.401971
8OK																							0.102865	0.414377
CARINA_LAB																								0.498607

# Fst' Means
	15TX	16TX	18TX	19TX	20NM	21NM	26NM	27NM	28NM	37CR	38CR	39CR	41CR	43GR	44GR	47TX	49TX	50TX	51TX	52TX	6KS	8OK	CARINA_LAB	SUB_LAB
15TX		0.378459	0.235178	0.0259633	0.233711	0.24499	0.207161	0.238432	0.0638379	0.491346	0.496059	0.484751	0.478516	0.43844	0.450065	0.234732	0.255955	0.270488	0.266451	0.266076	0.0182383	0.0178583	0.0589684	0.27709
16TX			0.470159	0.402774	0.470848	0.480084	0.441987	0.467959	0.395156	0.0503165	0.067532	0.0325859	0.07457	0.122661	0.153726	0.451954	0.484347	0.524844	0.509289	0.515626	0.409451	0.447325	0.483214	0.522913
18TX				0.277514	0.00308776	0.00401638	0.00532946	0.00354991	0.136429	0.591145	0.598124	0.58456	0.544662	0.546582	0.516957	0.0170063	0.0226693	0.00509173	0.00918032	0.0085226	0.26732	0.315654	0.372266	0.0286088
19TX					0.258758	0.257265	0.212836	0.246802	0.0692061	0.523398	0.529121	0.521728	0.501683	0.486284	0.472529	0.269824	0.29444	0.320143	0.305463	0.313264	0.0113117	0.0127123	0.0645514	0.324666
20NM						0.00340369	0.000528976	0.00390572	0.120113	0.584384	0.587291	0.582939	0.539982	0.536335	0.513368	0.0138113	0.0180373	0.00457485	0.00956408	0.0054585	0.245802	0.29182	0.339143	0.0224896
21NM							0.00779048	0.00124073	0.131698	0.615003	0.611278	0.599743	0.567569	0.550515	0.529332	0.00936266	0.0126993	0.00138095	0.00359753	0.00436535	0.252865	0.295908	0.327699	0.0240614
26NM								0.00674691	0.0912824	0.552421	0.553407	0.546084	0.504651	0.503703	0.488326	0.0170563	0.0210568	0.0101992	0.01474	0.0122041	0.203118	0.249911	0.276206	0.0244183
27NM									0.125987	0.590355	0.58978	0.583649	0.543007	0.533769	0.516434	0.00804704	0.0114987	0.000482147	0.00202648	0.00268399	0.236281	0.284773	0.311104	0.0222574
28NM										0.526516	0.53254	0.526874	0.49312	0.481936	0.466177	0.145979	0.167823	0.174862	0.172479	0.173026	0.0435609	0.0885568	0.12519	0.188064
37CR											0.066302	0.043408	0.0424819	0.244334	0.182293	0.589011	0.621472	0.682803	0.674172	0.670697	0.528702	0.570637	0.639977	0.674961
38CR												0.0350907	0.0786989	0.233381	0.174071	0.594329	0.622855	0.683301	0.666509	0.670605	0.538977	0.581688	0.639275	0.682811
39CR													0.0380128	0.242603	0.169712	0.578058	0.606518	0.668629	0.653939	0.655412	0.523291	0.568374	0.625373	0.668344
41CR														0.19742	0.157949	0.545644	0.576301	0.621403	0.610398	0.61426	0.509081	0.550119	0.596752	0.626481
43GR															0.0540146	0.539936	0.565527	0.623981	0.603819	0.608305	0.488816	0.532306	0.585505	0.630395
44GR																0.511052	0.538125	0.582921	0.569202	0.574402	0.479527	0.510798	0.547852	0.57594
47TX																	0.00399858	0.00669152	0.00520692	0.0114066	0.263798	0.298741	0.34771	0.0327158
49TX																		0.00684097	0.00132506	0.0140114	0.292959	0.335351	0.394692	0.0398035
50TX																			-0.00193848	-0.000163912	0.317689	0.37313	0.452504	0.0359633
51TX																				-0.00110191	0.305911	0.36084	0.422719	0.0345209
52TX																					0.310643	0.358746	0.433686	0.035493
6KS																						0.0118898	0.0623738	0.329427
8OK																							0.0735438	0.373014
CARINA_LAB																								0.455138

# Dxy Means
	15TX	16TX	18TX	19TX	20NM	21NM	26NM	27NM	28NM	37CR	38CR	39CR	41CR	43GR	44GR	47TX	49TX	50TX	51TX	52TX	6KS	8OK	CARINA_LAB	SUB_LAB
15TX		0.000766627	0.000625756	0.000459341	0.000609368	0.000628174	0.000599519	0.000607882	0.000501011	0.000809151	0.000819572	0.000805601	0.000821545	0.000765272	0.000787908	0.000589694	0.000608152	0.00061902	0.00062091	0.000644395	0.000425415	0.00044816	0.000469009	0.000627039
16TX			0.000824549	0.000783141	0.000815928	0.000820167	0.000800985	0.00080267	0.000801649	0.000418329	0.000442704	0.000405485	0.000468357	0.000472494	0.000502042	0.000799128	0.000827086	0.000859928	0.000845295	0.000849173	0.000784072	0.000811985	0.000834221	0.000841063
18TX				0.000691965	0.000417945	0.000414378	0.000438819	0.000402641	0.000588824	0.000867505	0.000859651	0.000859037	0.000857895	0.000827471	0.000827793	0.000409984	0.000417718	0.000425742	0.000436571	0.000475183	0.000693078	0.000727113	0.000763302	0.000438961
19TX					0.000652934	0.000642001	0.00060875	0.000625153	0.000551943	0.000816473	0.000826755	0.000820065	0.00082542	0.000788902	0.000781233	0.000654101	0.000675343	0.000710843	0.000690254	0.000716253	0.000474546	0.00048187	0.000521383	0.000701542
20NM						0.000375578	0.000391801	0.000349287	0.000533941	0.0008577	0.00086695	0.000857536	0.000864022	0.000822021	0.000823206	0.000356267	0.000353264	0.00035628	0.000372599	0.000434294	0.000635315	0.000679822	0.000722753	0.000392645
21NM							0.00040577	0.000371011	0.000545623	0.000872862	0.000886547	0.00087267	0.000863831	0.000837909	0.000826368	0.000379765	0.000382799	0.000380908	0.000387754	0.000437993	0.000640193	0.00068587	0.000704142	0.000409995
26NM								0.000385865	0.000526693	0.000830816	0.000845813	0.000830439	0.000845001	0.000801467	0.000808658	0.000379589	0.000375268	0.000372373	0.000397578	0.000439448	0.000602922	0.000647123	0.000667659	0.000411228
27NM									0.000514729	0.000853984	0.000859896	0.000855862	0.000859431	0.000813308	0.000821103	0.000350527	0.000346134	0.000336033	0.000361218	0.00041462	0.000602691	0.000659776	0.000678722	0.000385653
28NM										0.000836665	0.000856248	0.000836797	0.000851505	0.000800201	0.000813412	0.000530015	0.000550864	0.000566166	0.000568403	0.000614893	0.000538317	0.00056274	0.000594873	0.000587026
37CR											0.000549713	0.000534795	0.000525595	0.000612068	0.000583385	0.000861783	0.000882808	0.000932952	0.000927273	0.000913567	0.00081587	0.000850149	0.000903647	0.000912715
38CR												0.000505681	0.000504381	0.000610549	0.000566158	0.00088104	0.000901345	0.000949211	0.000936679	0.00091892	0.000839323	0.000860337	0.000899734	0.000928323
39CR													0.000522683	0.000601715	0.000579612	0.000862834	0.000886557	0.000935011	0.000928031	0.000914156	0.000816528	0.000860104	0.000897037	0.000919553
41CR														0.000600831	0.000536406	0.000871109	0.000888167	0.000928185	0.000916511	0.00089459	0.000838691	0.000858743	0.000880733	0.000901619
43GR															0.000460835	0.000836647	0.000856347	0.000900512	0.00088406	0.0008884	0.000791831	0.000827581	0.000857728	0.000885468
44GR																0.000841752	0.000851435	0.00088282	0.000875136	0.000851883	0.000800594	0.000817855	0.000835539	0.00084718
47TX																	0.000376289	0.000369246	0.000379186	0.00044119	0.000636839	0.00068453	0.000719334	0.000411015
49TX																		0.000394896	0.000398499	0.000469674	0.000652931	0.000709488	0.000767133	0.000434688
50TX																			0.000417665	0.000515822	0.000680546	0.000753278	0.000831497	0.000453083
51TX																				0.000482909	0.000665324	0.000743734	0.000783882	0.000435545
52TX																					0.000714533	0.000755668	0.000811371	0.000499879
6KS																						0.000463598	0.000494318	0.000687554
8OK																							0.000512673	0.000741876
CARINA_LAB																								0.000802228
