# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
15TX	15	12.22805	12.26546	0.09320	0.93930	0.01190	0.00290	0.05026	0.01316	0.00305	0.94974	0.01316	0.00305	0.09025	0.02059	0.00382	0.90975	0.02059	0.00382	0.09513	0.02322	0.00405	0.16213	0.11719	0.09320
16TX	9	11.32607	39.20683	0.16874	0.93982	0.01501	0.00330	0.04082	0.01983	0.00379	0.95918	0.01983	0.00379	0.08312	0.02117	0.00392	0.91688	0.02117	0.00392	0.09553	0.03272	0.00487	0.21402	0.17001	0.16874
18TX	14	11.05650	11.13179	0.08866	0.97261	0.00521	0.00192	0.02645	0.00807	0.00239	0.97355	0.00807	0.00239	0.04287	0.00995	0.00265	0.95713	0.00995	0.00265	0.04584	0.01168	0.00287	0.07830	0.07549	0.08866
19TX	31	11.13447	13.25953	0.09687	0.95225	0.01057	0.00273	0.04140	0.01292	0.00302	0.95860	0.01292	0.00302	0.06982	0.01787	0.00356	0.93018	0.01787	0.00356	0.07495	0.02127	0.00388	0.10490	0.09389	0.09687
20NM	6	14.35099	8.46400	0.07731	0.96796	0.00633	0.00211	0.03481	0.01053	0.00273	0.96519	0.01053	0.00273	0.04938	0.01108	0.00280	0.95062	0.01108	0.00280	0.05203	0.01278	0.00300	0.08066	0.07449	0.07731
21NM	8	11.33781	6.84196	0.06954	0.96955	0.00602	0.00206	0.03313	0.00919	0.00255	0.96687	0.00919	0.00255	0.04701	0.01067	0.00275	0.95299	0.01067	0.00275	0.04986	0.01219	0.00294	0.06682	0.06505	0.06954
26NM	13	14.65254	9.56399	0.08218	0.95747	0.00720	0.00225	0.04575	0.01097	0.00278	0.95425	0.01097	0.00278	0.06705	0.01403	0.00315	0.93295	0.01403	0.00315	0.06988	0.01534	0.00329	0.09792	0.08377	0.08218
27NM	11	17.17797	11.19940	0.08893	0.97130	0.00493	0.00187	0.03505	0.00973	0.00262	0.96495	0.00973	0.00262	0.04590	0.00941	0.00258	0.95410	0.00941	0.00258	0.04758	0.01017	0.00268	0.06992	0.06977	0.08893
28NM	7	6.74912	2.16261	0.03909	0.92933	0.01916	0.00368	0.07365	0.02688	0.00436	0.92635	0.02688	0.00436	0.09306	0.02838	0.00448	0.90694	0.02838	0.00448	0.10142	0.03380	0.00489	0.06827	0.06448	0.03909
37CR	8	3.71416	2.02584	0.04208	0.96998	0.00945	0.00287	0.03784	0.02069	0.00425	0.96216	0.02069	0.00425	0.03936	0.01376	0.00347	0.96064	0.01376	0.00347	0.04956	0.02417	0.00460	0.02353	0.02764	0.04208
38CR	24	7.58468	11.05639	0.09980	0.97497	0.00707	0.00252	0.03093	0.01443	0.00361	0.96907	0.01443	0.00361	0.03467	0.01142	0.00321	0.96533	0.01142	0.00321	0.03900	0.01528	0.00371	0.02004	0.02772	0.09980
39CR	5	9.10546	10.68702	0.09943	0.97328	0.00801	0.00272	0.03236	0.01562	0.00380	0.96764	0.01562	0.00380	0.03599	0.01211	0.00335	0.96401	0.01211	0.00335	0.04025	0.01601	0.00385	0.02129	0.03068	0.09943
41CR	21	10.10795	27.11480	0.15063	0.96510	0.00983	0.00287	0.04366	0.02140	0.00423	0.95634	0.02140	0.00423	0.04772	0.01464	0.00350	0.95228	0.01464	0.00350	0.05524	0.02238	0.00433	0.03172	0.04143	0.15063
43GR	16	11.49140	18.02370	0.12771	0.96804	0.00908	0.00287	0.03545	0.01517	0.00371	0.96455	0.01517	0.00371	0.04375	0.01432	0.00360	0.95625	0.01432	0.00360	0.04670	0.01647	0.00386	0.03392	0.03895	0.12771
44GR	52	10.04287	27.54340	0.14652	0.95567	0.01201	0.00306	0.04442	0.01767	0.00371	0.95558	0.01767	0.00371	0.06072	0.01799	0.00374	0.93928	0.01799	0.00374	0.06898	0.02541	0.00445	0.06840	0.06528	0.14652
47TX	37	21.38021	18.20187	0.11342	0.97519	0.00583	0.00203	0.02978	0.01020	0.00268	0.97022	0.01020	0.00268	0.03672	0.00963	0.00261	0.96328	0.00963	0.00261	0.03787	0.01028	0.00270	0.04205	0.04534	0.11342
49TX	19	23.72772	19.73827	0.11815	0.97989	0.00461	0.00180	0.02712	0.00966	0.00261	0.97288	0.00966	0.00261	0.03020	0.00818	0.00240	0.96980	0.00818	0.00240	0.03103	0.00864	0.00247	0.02347	0.02971	0.11815
50TX	6	7.40427	1.52591	0.03296	0.98122	0.00494	0.00187	0.02645	0.01077	0.00277	0.97355	0.01077	0.00277	0.02698	0.00820	0.00242	0.97302	0.00820	0.00242	0.02952	0.00996	0.00266	0.00860	0.01660	0.03296
51TX	8	12.41720	4.60747	0.05722	0.98113	0.00469	0.00182	0.02695	0.01072	0.00276	0.97305	0.01072	0.00276	0.02766	0.00766	0.00233	0.97234	0.00766	0.00233	0.02907	0.00848	0.00245	0.01134	0.02129	0.05722
52TX	13	16.70170	17.06234	0.11008	0.98307	0.00422	0.00173	0.02288	0.00897	0.00252	0.97712	0.00897	0.00252	0.02485	0.00726	0.00227	0.97515	0.00726	0.00227	0.02584	0.00784	0.00236	0.01549	0.02168	0.11008
6KS	8	7.61348	4.04567	0.05357	0.95017	0.01030	0.00270	0.04211	0.01341	0.00308	0.95789	0.01341	0.00308	0.07410	0.01857	0.00363	0.92590	0.01857	0.00363	0.08046	0.02247	0.00399	0.12286	0.10391	0.05357
8OK	12	15.67001	21.78479	0.12501	0.96363	0.00851	0.00247	0.03718	0.01191	0.00292	0.96282	0.01191	0.00292	0.05309	0.01451	0.00323	0.94691	0.01451	0.00323	0.05581	0.01631	0.00342	0.06531	0.06081	0.12501
CARINA_LAB	18	10.69756	12.65109	0.09533	0.97308	0.00724	0.00228	0.02994	0.01187	0.00292	0.97006	0.01187	0.00292	0.03791	0.01140	0.00286	0.96209	0.01140	0.00286	0.04075	0.01342	0.00311	0.03405	0.03946	0.09533
SUB_LAB	16	13.89672	14.05561	0.10006	0.98614	0.00338	0.00155	0.02000	0.00803	0.00239	0.98000	0.00803	0.00239	0.02058	0.00571	0.00202	0.97942	0.00571	0.00202	0.02163	0.00632	0.00212	0.01107	0.01837	0.10006
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
15TX	15	1475646	1412	528	0.03578	14.15508	11.46020	0.00279	0.99994	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	0.00016	0.00014	0.00279
16TX	9	1469839	1377	496	0.03375	13.95289	35.54994	0.00492	0.99994	0.00002	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00009	0.00004	0.00001	0.00020	0.00020	0.00492
18TX	14	1478400	1416	320	0.02165	13.28658	9.42492	0.00252	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.00007	0.00008	0.00252
19TX	31	1479633	1413	415	0.02805	14.36980	4.77729	0.00180	0.99995	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00007	0.00003	0.00000	0.00010	0.00010	0.00180
20NM	6	1482311	1416	400	0.02698	16.43958	3.92872	0.00163	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00005	0.00001	0.00000	0.99995	0.00001	0.00000	0.00005	0.00001	0.00000	0.00008	0.00008	0.00163
21NM	8	1482612	1415	364	0.02455	13.44454	3.04106	0.00143	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00001	0.00000	0.00006	0.00007	0.00143
26NM	13	1482670	1416	488	0.03291	17.32586	4.17934	0.00168	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00007	0.00002	0.00000	0.00009	0.00009	0.00168
27NM	11	1482666	1416	430	0.02900	19.07651	4.92137	0.00182	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00001	0.00000	0.00007	0.00007	0.00182
28NM	7	1482292	1415	385	0.02597	7.20615	2.63979	0.00133	0.99993	0.00002	0.00000	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00010	0.00004	0.00001	0.00007	0.00007	0.00133
37CR	8	1477967	1144	129	0.00873	4.76201	0.49101	0.00058	0.99998	0.00001	0.00000	0.00003	0.00002	0.00000	0.99997	0.00002	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00002	0.00000	0.00002	0.00002	0.00058
38CR	24	1482217	1110	131	0.00884	9.86245	3.61436	0.00156	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00002	0.00002	0.00156
39CR	5	1482241	1081	133	0.00897	10.48046	5.22187	0.00188	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00002	0.00002	0.00188
41CR	21	1478295	1195	215	0.01454	13.83233	10.47660	0.00266	0.99997	0.00001	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	0.00003	0.00003	0.00266
43GR	16	1482432	1105	172	0.01160	13.32125	7.81011	0.00230	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00003	0.00003	0.00230
44GR	52	1483239	1283	297	0.02002	14.68565	6.49893	0.00209	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00003	0.00000	0.00006	0.00006	0.00209
47TX	37	1482272	1415	318	0.02145	23.28935	12.41934	0.00289	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.00004	0.00004	0.00289
49TX	19	1482188	1414	248	0.01673	25.79134	8.81444	0.00244	0.99998	0.00000	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00002	0.00003	0.00244
50TX	6	1366365	1405	147	0.01076	7.45726	2.71193	0.00141	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00001	0.00002	0.00141
51TX	8	1382694	1407	192	0.01389	12.91662	9.84987	0.00267	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.00001	0.00002	0.00267
52TX	13	1404358	1408	168	0.01196	18.86870	28.84363	0.00453	0.99998	0.00000	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00002	0.00001	0.00000	0.99998	0.00001	0.00000	0.00003	0.00001	0.00000	0.00002	0.00002	0.00453
6KS	8	1464821	1410	395	0.02697	8.26631	3.63006	0.00157	0.99995	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00007	0.00002	0.00000	0.99993	0.00002	0.00000	0.00008	0.00003	0.00000	0.00012	0.00011	0.00157
8OK	12	1453301	1394	330	0.02271	17.53435	26.93492	0.00431	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00005	0.00002	0.00000	0.00006	0.00006	0.00431
CARINA_LAB	18	1429042	1392	220	0.01539	12.79169	10.01411	0.00265	0.99997	0.00001	0.00000	0.00003	0.00001	0.00000	0.99997	0.00001	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00001	0.00000	0.00003	0.00004	0.00265
