# Population 15TX	E29,E30,F85,F86,F87,F88,G01_rep,G2,G43,G44,G45,G46,G85,G86,G87,G88
# Population 16TX	F54,F65,F66,G13,G14,G15,G16,G3,G4,G57,G58,G59,G60,G73,G74,G76,G77,G78
# Population 18TX	G53,G54,G55,G56,G65,G66,G67,G68,G71,G72,G94,H41,H42,H63,H64
# Population 19TX	H1,H2,H3,H33,H34,H35,H36,H47,H48,H49,H50,H55,H56,H57,H58
# Population 20NM	G23,G24,G25,G26,G35,G36,G37,G38,G49,G50,G52,G61,G62,G63,G64,G69,G70
# Population 21NM	G31,G32,G33,G34,G39,G40,G41_rep,G42,G83,G84,H25,H26,H27,H28
# Population 26NM	F83,F84,F93,F94,F95,F96,G10,G11,G12,G9,H12,H21,H22,H23,H24,H70,H71,H72
# Population 27NM	F75,F76,F77,F78,G19,G20,G21,G22,G27,G28,G29,G30,G79,G80,G81,G82,H17,H18,H19,H20
# Population 28NM	F89,F90,F92,G6,H10,H67,H68,H9
# Population 37CR	D46,D47,D48,D71_rep,D72
# Population 38CR	D1,D2,D3,D4,D49,D50,D51,D52,D73,D75,D76
# Population 39CR	D5,D53,D54,D55,D56,D6,D7,D77,D78,D79,D8,D80
# Population 41CR	D12,D13,D15_rep,D16,D41,D42,D43,D44,D57,D58,D59,D60,D81,D82,D83,D84
# Population 43GR	D17,D18,D19,D20,D33,D34,D35,D61,D62,D63,D64,D85,D86,D87,D88
# Population 44GR	D21,D22,D23,D24_rep,D27,D37,D38,D39,D40,D65_rep,D89,D90,D91,D92,D93,D94
# Population 47TX	N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N24,N25,N26,N27,N28,N3,N4,N5,N6,N7,N8,N9
# Population 49TX	L1,L10,L11,L12,L13,L14,L15,L16,L17,L18_rep,L19,L2,L20,L21,L22,L23,L24,L26,L27,L28,L3,L4,L5,L6,L7,L8,L9_rep
# Population 50TX	K1,K2,K3,K32,K33,K34,K4,K5
# Population 51TX	J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27
# Population 52TX	S1,S11_rep,S12,S13,S15,S16,S17,S18,S19,S2,S20,S21,S22,S23,S24,S3,S4,S6,S7,S8,S9
# Population 6KS	F29,F30,F41,F42,F43,F44,F63,F64,G48_rep
# Population 8OK	F33,F34,F35,F36,F45,F46,F47,F48,F55,F56,F57,F58,F67,F68,F69,F70,F79,F80,F81,F82
# Population CARINA_LAB	Q1,Q11,Q12,Q13,Q14,Q15,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
# Population SUB_LAB	R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R3,R5,R6,R7,R9
# Group defaultgrp	15TX,16TX,18TX,19TX,20NM,21NM,26NM,27NM,28NM,37CR,38CR,39CR,41CR,43GR,44GR,47TX,49TX,50TX,51TX,52TX,6KS,8OK,CARINA_LAB,SUB_LAB
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
356	2	81394	0.25616	0.00000	0.00000	0.00284	0.00000	0.00000	0.34389	0.00000	0.00000
357	2	81397	-0.00746	0.00000	0.00000	-0.00002	0.00000	0.00000	0.02924	0.00000	0.00000
556	3	6546	0.64332	0.00000	0.00000	0.04326	0.00000	0.00000	0.32831	0.00000	0.00000
1424	7	142315	-0.00341	0.00000	0.00000	-0.00015	0.00000	0.00000	0.18081	0.00000	0.00000
1507	7	293365	0.03076	0.00000	0.00000	0.00009	0.00000	0.00000	0.00632	0.00000	0.00000
1508	7	293368	0.07251	0.00000	0.00000	0.00020	0.00000	0.00000	0.00075	0.00000	0.00000
1539	7	374093	0.05271	0.00000	0.00000	0.00049	0.00000	0.00000	0.35295	0.00000	0.00000
1141	5	384554	-0.01751	0.00000	0.00000	-0.00006	0.00000	0.00000	0.35448	0.00000	0.00000
1821	9	283363	0.08208	0.00000	0.00000	0.00552	0.00000	0.00000	0.35368	0.00000	0.00000
1839	9	304026	0.00775	0.00000	0.00000	0.00002	0.00000	0.00000	0.02170	0.00000	0.00000
1840	9	304029	0.71261	0.00000	0.00000	0.29692	0.00000	0.00000	0.42653	0.00000	0.00000
2205	12	2075	0.83728	0.00000	0.00000	0.04516	0.00000	0.00000	0.35290	0.00000	0.00000
2397	13	104753	0.00288	0.00000	0.00000	0.00001	0.00000	0.00000	0.00196	0.00000	0.00000
2656	14	315476	0.00144	0.00000	0.00000	0.00008	0.00000	0.00000	0.01821	0.00000	0.00000
2657	14	315479	0.02803	0.00000	0.00000	0.00222	0.00000	0.00000	0.14818	0.00000	0.00000
2950	16	229056	0.95417	0.00000	0.00000	0.34581	0.00000	0.00000	0.30785	0.00000	0.00000
2952	16	229059	0.92719	0.00000	0.00000	0.38358	0.00000	0.00000	0.42098	0.00000	0.00000
3058	17	85943	0.00248	0.00000	0.00000	0.00001	0.00000	0.00000	0.00370	0.00000	0.00000
3059	17	85946	0.82814	0.00000	0.00000	0.35935	0.00000	0.00000	0.39801	0.00000	0.00000
3482	20	91933	0.01941	0.00000	0.00000	0.00041	0.00000	0.00000	0.10289	0.00000	0.00000
3483	20	91936	-0.01561	0.00000	0.00000	-0.00004	0.00000	0.00000	0.00797	0.00000	0.00000
3559	20	216029	-0.00907	0.00000	0.00000	-0.00003	0.00000	0.00000	0.41603	0.00000	0.00000
3560	20	216032	-0.00301	0.00000	0.00000	-0.00009	0.00000	0.00000	0.40294	0.00000	0.00000
3765	22	53387	-0.00824	0.00000	0.00000	-0.00005	0.00000	0.00000	0.00254	0.00000	0.00000
3766	22	53390	0.82703	0.00000	0.00000	0.38561	0.00000	0.00000	0.43420	0.00000	0.00000
3862	23	29962	0.03844	0.00000	0.00000	0.00120	0.00000	0.00000	0.11359	0.00000	0.00000
3863	23	29965	0.95813	0.00000	0.00000	0.13676	0.00000	0.00000	0.17093	0.00000	0.00000
4037	24	45798	0.94893	0.00000	0.00000	0.35101	0.00000	0.00000	0.38189	0.00000	0.00000
4038	24	45801	0.93480	0.00000	0.00000	0.36752	0.00000	0.00000	0.41031	0.00000	0.00000
