# Population 11CO	E69,E70,E82,E84,E92,E94,F10,F19,F20,F21,F22,F9
# Population 12AZ	E59,E60,E65,E67,E68,E77,E78,F15,F16,F17,F18,F23,F24,F4,F5
# Population 15TX	E29,E30,F85,F86,F87,F88,G01_rep,G2,G43,G44,G45,G46,G85,G86,G87,G88
# Population 16TX	F54,F65,F66,G13,G14,G15,G16,G3,G4,G57,G58,G59,G60,G73,G74,G76,G77,G78
# Population 18TX	G53,G54,G55,G56,G65,G66,G67,G68,G71,G72,G94,H41,H42,H63,H64,H65_rep,H66_rep
# Population 19TX	H1,H2,H3,H33,H34,H35,H36,H47,H48,H49,H50,H55,H56,H57,H58
# Population 1WY	E1,E13,E15_rep,E25,E26,E27,E28,E3,E35,E36,E37,E38,E4,E47,E48,E49,E50
# Population 20NM	G23,G24,G25,G26,G35,G36,G37,G38,G49,G50,G52,G61,G62,G63,G64,G69,G70
# Population 21NM	G31,G32,G33,G34,G39,G40,G41,G41_rep,G42,G83,G84,H25,H26,H27,H28
# Population 26NM	F83,F84,F93,F94,F95,F96,G10,G11,G12,G9,H12,H21,H22,H23,H24,H70,H71,H72
# Population 27NM	F75,F76,F77,F78,G19,G20,G21,G22,G27,G28,G29,G30,G79,G80,G81,G82,H17,H18,H19,H20
# Population 28NM	F89,F90,F91_2019,F92,G17_rep,G18_rep,G5_rep,G6,G7_rep,G8_rep,H10,H11_rep,H67,H68,H69_rep,H8_rep,H9
# Population 2CO	G89,G90,G92,H13,H14,H15,H16,H29,H30,H31,H32,H4,H43,H44,H45,H46,H5,H6,H7
# Population 31NV	E95,F1,F11,F12,F13,F14,F2
# Population 32UT	E10,E11,E12,E21,E22,E23,E24_rep,E31,E32,E33,E34,E43,E44,E45,E46,E55,E56,E57,E58,E9
# Population 33NV	E61,E62,E63,E64,E75,E76,E85,E86,E87
# Population 34UT	E17,E18,E19,E20,E39,E40,E41,E42,E5,E51,E52,E53,E54,E7,E8,E90
# Population 37CR	D46,D47,D48,D70_rep,D71_rep,D72
# Population 38CR	D1,D2,D3,D4,D49,D50,D51,D52,D73,D75,D76
# Population 39CR	D5,D53,D54,D55,D56,D6,D7,D77,D78,D79,D8,D80
# Population 41CR	D12,D13,D15_rep,D16,D41,D42,D43,D44,D57,D58,D59,D60,D81,D82,D83,D84
# Population 43GR	D17,D18,D19,D20,D33,D34,D35,D61,D62,D63,D64,D85,D86,D87,D88
# Population 44GR	D21,D22,D23,D24_rep,D27,D37,D38,D39,D40,D65_rep,D89,D90,D91,D92,D93,D94
# Population 46CH	I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
# Population 47TX	N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N24,N25,N26,N27,N28,N3,N4,N5,N6,N7,N8,N9
# Population 49TX	L1,L10,L11,L12,L13,L14,L15,L16,L17,L18_rep,L19,L2,L20,L21,L22,L23,L24,L26,L27,L28,L3,L4,L5,L6,L7,L8,L9_rep
# Population 4CO	H37,H38,H39,H40,H51,H52,H53,H54,H59,H60,H62
# Population 50TX	K1,K2,K3,K32,K33,K34,K4,K5
# Population 51TX	J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27
# Population 52TX	S1,S11_rep,S12,S13,S15,S16,S17,S18,S19,S2,S20,S21,S22,S23,S24,S3,S4,S6,S7,S8,S9
# Population 5CO	F25,F26,F27,F28,F37,F38,F39,F49,F50,F51,F52,F59,F60,F61,F62,F71,F72,F73,F74
# Population 6KS	F29,F30,F41,F42,F43,F44,F63,F64,G47_rep,G48_rep
# Population 8OK	F33,F34,F35,F36,F45,F46,F47,F48,F55,F56,F57,F58,F67,F68,F69,F70,F79,F80,F81,F82
# Population CARINA_LAB	Q1,Q11,Q12,Q13,Q14,Q15,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
# Population SUB_LAB	R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R3,R5,R6,R7,R9
# Group defaultgrp	11CO,12AZ,15TX,16TX,18TX,19TX,1WY,20NM,21NM,26NM,27NM,28NM,2CO,31NV,32UT,33NV,34UT,37CR,38CR,39CR,41CR,43GR,44GR,46CH,47TX,49TX,4CO,50TX,51TX,52TX,5CO,6KS,8OK,CARINA_LAB,SUB_LAB
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
130	1	290629	0.94101	0.00000	0.00000	0.45740	0.00000	0.00000	-nan	0.00000	0.00000
308	2	16965	-0.00097	0.00000	0.00000	-0.00000	0.00000	0.00000	-nan	0.00000	0.00000
356	2	81394	-0.01056	0.00000	0.00000	-0.00002	0.00000	0.00000	0.11009	0.00000	0.00000
357	2	81397	0.76799	0.00000	0.00000	0.40928	0.00000	0.00000	0.36564	0.00000	0.00000
555	3	6543	0.96294	0.00000	0.00000	0.46426	0.00000	0.00000	-nan	0.00000	0.00000
556	3	6546	0.93314	0.00000	0.00000	0.49910	0.00000	0.00000	0.44912	0.00000	0.00000
1424	7	142315	-0.00889	0.00000	0.00000	-0.00009	0.00000	0.00000	0.40933	0.00000	0.00000
1507	7	293365	0.90313	0.00000	0.00000	0.28456	0.00000	0.00000	0.32009	0.00000	0.00000
1508	7	293368	0.05466	0.00000	0.00000	0.00010	0.00000	0.00000	0.00074	0.00000	0.00000
1141	5	384554	-0.02208	0.00000	0.00000	-0.00015	0.00000	0.00000	-nan	0.00000	0.00000
1821	9	283363	1.00000	0.00000	0.00000	0.01492	0.00000	0.00000	-nan	0.00000	0.00000
1839	9	304026	0.35382	0.00000	0.00000	0.08316	0.00000	0.00000	0.10923	0.00000	0.00000
1840	9	304029	0.86216	0.00000	0.00000	0.45750	0.00000	0.00000	0.46218	0.00000	0.00000
2205	12	2075	0.83903	0.00000	0.00000	0.13330	0.00000	0.00000	0.39815	0.00000	0.00000
2396	13	104750	0.91206	0.00000	0.00000	0.48832	0.00000	0.00000	0.56790	0.00000	0.00000
2397	13	104753	0.94078	0.00000	0.00000	0.43929	0.00000	0.00000	0.44362	0.00000	0.00000
2656	14	315476	0.54288	0.00000	0.00000	0.10737	0.00000	0.00000	0.11059	0.00000	0.00000
2657	14	315479	0.01046	0.00000	0.00000	0.00004	0.00000	0.00000	0.00180	0.00000	0.00000
2950	16	229056	0.01659	0.00000	0.00000	0.00044	0.00000	0.00000	0.00308	0.00000	0.00000
2952	16	229059	0.92853	0.00000	0.00000	0.28390	0.00000	0.00000	0.32265	0.00000	0.00000
3058	17	85943	0.94385	0.00000	0.00000	0.44380	0.00000	0.00000	0.44956	0.00000	0.00000
3059	17	85946	0.42287	0.00000	0.00000	0.01733	0.00000	0.00000	0.17456	0.00000	0.00000
3458	20	61624	0.92114	0.00000	0.00000	0.47797	0.00000	0.00000	-nan	0.00000	0.00000
3459	20	61627	0.93805	0.00000	0.00000	0.48208	0.00000	0.00000	-nan	0.00000	0.00000
3482	20	91933	0.84746	0.00000	0.00000	0.30089	0.00000	0.00000	0.34363	0.00000	0.00000
3483	20	91936	0.85063	0.00000	0.00000	0.47102	0.00000	0.00000	0.46335	0.00000	0.00000
3559	20	216029	0.00420	0.00000	0.00000	0.00001	0.00000	0.00000	-nan	0.00000	0.00000
3765	22	53387	0.44231	0.00000	0.00000	0.06377	0.00000	0.00000	0.06813	0.00000	0.00000
3766	22	53390	0.07010	0.00000	0.00000	0.00287	0.00000	0.00000	0.00926	0.00000	0.00000
3862	23	29962	-0.00287	0.00000	0.00000	-0.00006	0.00000	0.00000	0.02729	0.00000	0.00000
3863	23	29965	0.00302	0.00000	0.00000	0.00001	0.00000	0.00000	0.01815	0.00000	0.00000
4037	24	45798	0.96828	0.00000	0.00000	0.27659	0.00000	0.00000	0.31739	0.00000	0.00000
4038	24	45801	-0.01147	0.00000	0.00000	-0.00005	0.00000	0.00000	0.01817	0.00000	0.00000
4101	24	143715	0.06207	0.00000	0.00000	0.00399	0.00000	0.00000	0.28226	0.00000	0.00000
4102	24	143718	0.77133	0.00000	0.00000	0.24138	0.00000	0.00000	0.46571	0.00000	0.00000
4381	26	133689	0.88805	0.00000	0.00000	0.47391	0.00000	0.00000	-nan	0.00000	0.00000
4402	26	187644	0.91981	0.00000	0.00000	0.42418	0.00000	0.00000	0.30797	0.00000	0.00000
4403	26	187647	0.96244	0.00000	0.00000	0.30544	0.00000	0.00000	0.35856	0.00000	0.00000
4566	27	252921	0.83504	0.00000	0.00000	0.43307	0.00000	0.00000	0.44409	0.00000	0.00000
4567	27	252924	0.00034	0.00000	0.00000	0.00000	0.00000	0.00000	0.01281	0.00000	0.00000
4641	28	101086	0.12686	0.00000	0.00000	0.00093	0.00000	0.00000	0.00472	0.00000	0.00000
4642	28	101089	0.12394	0.00000	0.00000	0.00345	0.00000	0.00000	0.14478	0.00000	0.00000
4906	30	171974	0.98022	0.00000	0.00000	0.25400	0.00000	0.00000	0.29220	0.00000	0.00000
